# Train Loss,Valid MSE,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test MSE,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
1.355721039773074080e-02,2.199054657322694738e-03,2.200930889152209573e-03,3.637074719465119982e-02,2.421716090379050002e+00,1.640921450742689313e-03,1.640553606184163302e-03,4.588888462711597505e-02,1.760220392257906497e+00,2.199054657322694738e-03
1.498327016962959718e-03,1.404551438070715313e-03,1.405472182605245219e-03,3.656358661782632691e-02,2.808937497320584953e+00,1.070730985591250963e-03,1.070466208267927379e-03,4.228971952230380082e-02,1.160382593167014420e+00,1.404551438070715313e-03
1.264163407347254240e-03,1.249968883856791097e-03,1.250562266691825292e-03,3.788059054207567472e-02,2.694566559162922204e+00,9.855738231167590017e-04,9.853883581392838733e-04,4.147665408670897502e-02,1.193738063448108733e+00,1.249968883856791097e-03
1.170970723367335776e-03,1.704720645705940169e-03,1.705794262890139188e-03,3.710890628466446267e-02,2.507310983433853835e+00,1.289916069802871275e-03,1.289591064835399941e-03,3.915010887274301965e-02,8.028575644129887223e-01,0.000000000000000000e+00
1.079716540961600697e-03,9.905624804863084627e-04,9.911172604873800564e-04,3.807047614225483878e-02,2.890666584193240851e+00,7.369447135285941844e-04,7.367706487464278703e-04,4.208886827509724510e-02,1.387899998459033668e+00,9.905624804863084627e-04
1.010440182266818861e-03,1.199840999366383028e-03,1.200646154032821529e-03,3.874506858766789408e-02,2.413685682869981974e+00,8.929658182336701767e-04,8.927344710765413357e-04,3.733325321128904556e-02,1.034914593386929482e+00,0.000000000000000000e+00
9.182064557419235534e-04,1.335417975035000857e-03,1.335670537596877561e-03,4.304596162319281744e-02,2.814019525132607669e+00,1.178576714503637868e-03,1.178523104939691599e-03,4.152779977133422978e-02,1.283773074392229319e+00,0.000000000000000000e+00
7.967577960098810993e-04,7.856415875952705175e-04,7.859781875838273797e-04,3.952185330465934898e-02,2.516672392259351909e+00,6.272789448959446845e-04,6.271772931094578502e-04,4.235490297460372394e-02,1.319620761671103537e+00,7.856415875952705175e-04
6.850687894528048258e-04,6.625374857870315213e-04,6.628631416042870790e-04,3.728148104390706374e-02,2.191349695320241153e+00,5.104909911319488111e-04,5.103880822895460198e-04,4.400217360946746814e-02,1.619828913826495409e+00,6.625374857870315213e-04
7.047091607130417023e-04,6.179385994665421121e-04,6.182206464495030316e-04,3.802231782895736101e-02,2.272656533110421151e+00,4.763730221652948691e-04,4.762781331164383462e-04,4.493260987519486632e-02,1.516447298694401979e+00,6.179385994665421121e-04
5.752036643938713417e-04,6.175722713426997626e-04,6.178317929682747029e-04,3.771118792622128041e-02,2.473553569463547319e+00,4.829400009524768746e-04,4.828588997599736303e-04,4.320688800267345059e-02,1.131081444153096527e+00,6.175722713426997626e-04
5.617324177364935167e-04,6.138771614854387137e-04,6.142381305349743463e-04,3.332401564013191125e-02,2.351471320580458269e+00,4.868549423096779844e-04,4.867143024241474270e-04,3.868743306429775486e-02,8.780301529914140701e-01,6.138771614854387137e-04
5.366228437041888153e-04,5.474397656230610854e-04,5.477034366228019030e-04,2.954198773571525133e-02,1.854857357306173071e+00,4.319680506168994201e-04,4.318754292699782549e-04,4.779409167725028051e-02,1.468035616446286440e+00,5.474397656230610854e-04
5.232118877795576472e-04,5.201288337943084632e-04,5.203876861961354797e-04,3.042172353720133671e-02,2.144378240423975512e+00,4.142943989138712295e-04,4.141938690525960370e-04,3.515440314955902562e-02,7.863648732891306281e-01,5.201288337943084632e-04
5.515823561236561775e-04,5.509182235058803206e-04,5.512516219985391522e-04,2.900726605946425327e-02,2.250551866716705263e+00,4.311164383990650942e-04,4.309841100922696434e-04,3.285135174582128753e-02,7.052218925673514605e-01,0.000000000000000000e+00
5.187336951457063600e-04,5.081163024962214022e-04,5.083960757976059737e-04,2.757290922523440366e-02,1.907235973718343303e+00,3.942154965708267816e-04,3.941080715689989386e-04,3.452838846256439664e-02,1.380386225879192352e+00,5.081163024962214022e-04
5.297490844238014317e-04,5.626256167907120118e-04,5.628740517137146822e-04,2.868368767402299999e-02,2.157736773166107014e+00,4.657355200043458970e-04,4.656448679256770503e-04,3.150185350363459563e-02,6.164096238208003342e-01,0.000000000000000000e+00
5.039022790755397782e-04,4.999922687905685717e-04,5.002839958203117573e-04,2.800542548334084350e-02,1.726159339828882366e+00,3.842335578839133742e-04,3.841199536047734198e-04,3.719591277178939392e-02,1.324749726511072367e+00,4.999922687905685717e-04
5.187451196376214593e-04,5.445524818372048060e-04,5.448044948606012511e-04,2.882825510181030379e-02,2.136937146104173735e+00,4.430730314581470051e-04,4.429789203543111676e-04,3.347165318025890207e-02,1.127209992904681712e+00,0.000000000000000000e+00
5.346271061577507512e-04,6.045149210198331059e-04,6.047696108271834398e-04,2.504925651107393555e-02,1.423761103622382507e+00,4.896242317045107484e-04,4.895385815882264454e-04,3.613932022747388256e-02,1.290514759777579457e+00,0.000000000000000000e+00
5.250262737659950598e-04,1.124944931472695968e-03,1.125166680910485691e-03,2.104832671083628828e-02,1.376574438123498112e+00,9.927656558020047685e-04,9.927222101209012828e-04,3.290876571354707514e-02,9.932796409702859819e-01,0.000000000000000000e+00
5.354340916149321087e-04,7.102286809452972504e-04,7.106258036021481433e-04,2.717806129385239022e-02,2.140681539138313383e+00,5.637670003608623390e-04,5.636156413552571550e-04,2.751373586933675980e-02,4.149743169546127319e-01,0.000000000000000000e+00
5.035175022869148439e-04,5.206562340072918259e-04,5.209478885995579879e-04,2.603141383937565903e-02,2.471417952678166330e+00,4.198376760073398942e-04,4.197176324270951832e-04,1.688162900677781311e-02,3.497190455673262477e-01,0.000000000000000000e+00
5.055473565857453774e-04,8.968339315042757158e-04,8.972789427864388129e-04,2.452570096718283132e-02,2.055207043245900422e+00,7.333466952631274068e-04,7.331791604715958994e-04,2.752589546268932943e-02,3.645961012225598097e-01,0.000000000000000000e+00
5.104363348475592565e-04,6.030796868135295148e-04,6.034322205090900375e-04,2.629995259912760314e-02,1.798735340475104749e+00,4.688830096235318060e-04,4.687425565955438168e-04,3.387152421620773929e-02,1.582019805384334177e+00,0.000000000000000000e+00
5.370621983216706521e-04,5.131980764244438963e-04,5.134914663025561725e-04,1.611176943334842460e-02,1.077206284360727295e+00,3.957310994794269979e-04,3.956185542658458725e-04,2.938814160239723930e-02,1.719264566578203812e+00,0.000000000000000000e+00
5.076297393316053785e-04,5.313220074366120692e-04,5.316407799626377689e-04,1.997065240251114093e-02,1.268108677642885596e+00,4.069430847285818403e-04,4.068155547595286663e-04,3.213914091125211897e-02,8.171940659522078931e-01,0.000000000000000000e+00
5.100270722845805845e-04,5.003292567308231104e-04,5.006063310074583246e-04,2.631279179311049252e-02,1.655375868227565661e+00,3.870442203385559025e-04,3.869353558794686701e-04,3.759134934829761604e-02,2.197099947021342814e+00,0.000000000000000000e+00
4.978929040241401567e-04,6.140937059373956881e-04,6.144318567413236364e-04,2.849429724997962210e-02,1.712291355273919180e+00,4.816780184009525063e-04,4.815348702173892384e-04,3.115745863379754468e-02,1.247067266085650772e+00,0.000000000000000000e+00
5.113747478235188080e-04,5.402147339953531193e-04,5.405286547416178825e-04,2.462127099703491709e-02,1.323823231243295595e+00,4.203319008622263668e-04,4.201978620990433322e-04,2.775172845949461231e-02,1.026035651622805744e+00,0.000000000000000000e+00
5.047771545000711386e-04,6.909475682371680636e-04,6.912916156017449463e-04,2.486083069518033387e-02,1.152452602516859770e+00,5.615589175499063673e-04,5.614037871295375799e-04,2.727862173727495926e-02,6.329200990148819983e-01,0.000000000000000000e+00
4.981448461508757725e-04,7.863955349695594911e-04,7.866490172743068185e-04,1.437644588897891117e-02,1.253292320849141106e+00,6.596374793080338281e-04,6.595694866688210601e-04,2.615956691429266109e-02,1.164547359774587676e+00,0.000000000000000000e+00
5.127800162920314242e-04,4.971356516646679774e-04,4.974257257003536666e-04,1.933798868153848577e-02,8.656045782554429024e-01,3.803187597740465063e-04,3.802028246869247640e-04,3.314634206488408646e-02,1.002273349789902568e+00,4.971356516646679774e-04
5.020230729372842380e-04,5.253566305327694863e-04,5.255965955051006624e-04,2.889450492375014029e-02,2.225664338853675872e+00,4.272728996058603704e-04,4.271755023215542137e-04,4.499348575107054576e-02,1.531383791996631771e+00,0.000000000000000000e+00
4.814963909821210679e-04,5.512152854371668229e-04,5.515377510779661532e-04,2.458142263439062891e-02,2.373918978904839605e+00,4.246373838187050159e-04,4.245060238142647465e-04,1.681000868196695641e-02,1.631906859111040831e-01,0.000000000000000000e+00
4.788046732388233514e-04,4.998939566864883362e-04,5.001680455322478390e-04,2.366295763819762157e-02,1.405308473331388086e+00,3.901834156116635753e-04,3.900750037120402050e-04,3.040503327771739220e-02,4.038665328989736736e-01,0.000000000000000000e+00
4.793703695581148631e-04,5.232801089559437589e-04,5.235368762468939558e-04,2.772812906790338150e-02,2.141956613457296044e+00,4.186231341730716534e-04,4.185246962574060928e-04,2.262106349991625451e-02,2.957652136683464050e-01,0.000000000000000000e+00
5.003837924689039443e-04,5.036087480090957512e-04,5.038784798229806400e-04,2.143074205514995320e-02,1.393971376295667142e+00,3.953043019368592177e-04,3.951988276880630323e-04,2.206151741875893302e-02,4.089869677554816008e-01,0.000000000000000000e+00
4.932595171881753310e-04,5.227526554436837287e-04,5.230588972600670999e-04,2.615496986023851250e-02,2.274816509045194834e+00,4.023261549283322041e-04,4.021990224180247418e-04,1.927262751618870687e-02,3.178445484954863787e-01,0.000000000000000000e+00
4.952617859902253656e-04,5.465305830945172642e-04,5.467878308899656306e-04,2.404744653283088368e-02,1.654443186387652531e+00,4.386066406683304750e-04,4.385129903179497209e-04,3.166013064735983401e-02,1.198653312982060015e+00,0.000000000000000000e+00
