# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
1.274991189703986866e-02,1.250535592423167482e-02,2.445560036729612350e-04,1.769552492612366671e-03,1.526581045861045592e-03,2.429714535653132933e-04,1.527242603987687174e-03,3.182358406508521698e-02,2.427318464004201815e+00,1.411972341485290185e-03,1.169242032480382991e-03,2.427303094961110602e-04,1.168997253323516422e-03,4.595970640358058162e-02,1.630896813236176968e+00,1.769552492612366671e-03
1.531661469538874495e-03,1.289206858695871125e-03,2.424546107849504960e-04,1.561383383453912241e-03,1.318301503488328308e-03,2.430818848162224328e-04,1.318888496793668751e-03,3.238801551440921578e-02,2.389031883038114756e+00,1.242953022049920683e-03,1.000469549507971602e-03,2.424834690421214564e-04,1.000258124931664803e-03,3.890947068167137368e-02,8.322205697186291218e-01,1.561383383453912241e-03
1.364421430867452604e-03,1.122313282742633126e-03,2.421081475829928577e-04,1.672156613610226595e-03,1.429905255217962627e-03,2.422513547542852420e-04,1.430915601834655514e-03,3.463957673537586268e-02,1.955717116419691592e+00,1.300474221843691668e-03,1.057787453765560420e-03,2.426867652537088849e-04,1.057461649643261269e-03,4.110698586051710068e-02,7.568129720166325569e-01,0.000000000000000000e+00
1.352380712636117250e-03,1.110464627500016600e-03,2.419160857359801975e-04,1.624469473470179859e-03,1.382043486898062784e-03,2.424259816059872190e-04,1.382979024127558134e-03,3.426479996880608253e-02,1.977429607242811471e+00,1.278256767091463233e-03,1.035625543243955116e-03,2.426312243387118749e-04,1.035318366954758812e-03,3.996024556964358071e-02,7.357341152383014560e-01,0.000000000000000000e+00
1.247903587391966523e-03,1.005931885184180134e-03,2.419717036978096360e-04,1.490044915246673853e-03,1.248046917016691799e-03,2.419979978835077119e-04,1.248280279927318137e-03,3.782706053841684846e-02,2.403555598750244826e+00,1.326426976156039805e-03,1.083782888661071961e-03,2.426440870651645158e-04,1.083691486378047337e-03,3.870207982618524556e-02,9.655143881682306528e-01,1.490044915246673853e-03
1.163282852893586343e-03,9.214377901213432380e-04,2.418450616111859875e-04,1.184301438606492072e-03,9.426279825025371453e-04,2.416734533321614978e-04,9.429480673201114929e-04,3.806343981277136856e-02,2.456977429741527885e+00,1.010496663725404332e-03,7.679055967782761434e-04,2.425910670699292363e-04,7.677908560203677282e-04,4.121316149777291132e-02,1.047876108437776566e+00,1.184301438606492072e-03
1.126796954269322854e-03,8.851075007577434255e-04,2.416894525246808501e-04,1.050911184205370651e-03,8.088169116591517778e-04,2.420942719687618999e-04,8.091661674111407746e-04,3.816721229461984138e-02,2.393258335010614246e+00,8.643272994498757238e-04,6.217215345771629105e-04,2.426057641359069604e-04,6.216053176348533245e-04,4.007313788440822200e-02,9.518096570391207933e-01,1.050911184205370651e-03
9.762886332650173166e-04,7.346641802174185693e-04,2.416244532411083437e-04,9.572931245664164377e-04,7.150999872898129110e-04,2.421931370456207862e-04,7.155551502745330405e-04,3.799683812609508382e-02,1.969765765534248203e+00,7.632501351643148930e-04,5.207431849798596071e-04,2.425069513510645484e-04,5.205890626954208077e-04,4.385794814869357211e-02,1.015836157603189349e+00,9.572931245664164377e-04
8.963382399397619568e-04,6.549648162345352151e-04,2.413734246921252387e-04,9.377290011293047591e-04,6.958624070980549189e-04,2.418665948396896083e-04,6.961039329726689557e-04,3.695032240758761022e-02,2.162717622646596283e+00,8.024098552991380676e-04,5.593961679459184388e-04,2.430136886426298849e-04,5.593154639552894505e-04,5.543406356253868100e-02,1.808380091097205877e+00,9.377290011293047591e-04
8.453842246068389013e-04,6.041149906408502723e-04,2.412692349915890506e-04,1.293561011571289212e-03,1.048500928658223407e-03,2.450600792173414691e-04,1.048693252623132764e-03,3.085686337671789126e-02,1.752835828636307269e+00,1.156259927150050720e-03,9.106480137529519153e-04,2.456119118620865615e-04,9.106117082639892052e-04,4.682912558050859181e-02,8.450140652712434530e-01,0.000000000000000000e+00
