# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
1.384950368377216648e-02,1.343780527303293712e-02,4.116984114165113200e-04,2.204117000228651528e-03,1.795357518223306527e-03,4.087594826982933038e-04,1.796745981547147363e-03,3.355945724704142291e-02,2.420517761522205546e+00,1.738138260606692008e-03,1.327166663883607659e-03,4.109715972142883233e-04,1.326837687027209193e-03,4.410100113613393130e-02,1.536563486210070550e+00,2.204117000228651528e-03
1.764279895569222621e-03,1.355969243532138303e-03,4.083106554041497876e-04,2.006229773368907975e-03,1.600014749870059139e-03,4.062150181284994877e-04,1.600396888339807337e-03,3.671606904018311773e-02,2.718545562238432467e+00,1.803221259627664236e-03,1.393845942920616263e-03,4.093753175666547928e-04,1.393711713723354024e-03,4.456298230350352885e-02,1.119117606198415160e+00,2.006229773368907975e-03
1.593947082855788275e-03,1.186612060414614801e-03,4.073350199449007544e-04,1.699728884093005144e-03,1.292196668001697373e-03,4.075322173617129933e-04,1.292711609193553015e-03,3.507925821083143075e-02,2.208793824247550219e+00,1.470435488593807745e-03,1.060149702636470088e-03,4.102857868169446391e-04,1.060007502182434272e-03,4.063597306564307315e-02,1.102636390947736800e+00,1.699728884093005144e-03
1.492898502932648534e-03,1.085911623297935351e-03,4.069868773706517397e-04,1.424047606258046919e-03,1.016451695856327884e-03,4.075959123073271393e-04,1.017054653445502660e-03,3.692257875208767443e-02,2.453870756726246327e+00,1.166731184977205056e-03,7.560445032110005249e-04,4.106866837924204772e-04,7.558548668925262190e-04,4.215099172187787568e-02,1.510260318755172193e+00,1.424047606258046919e-03
1.443032016779514102e-03,1.035912477705773754e-03,4.071195373515055799e-04,1.371873323463775746e-03,9.661914881444462304e-04,4.056818414981188748e-04,9.668227668984082698e-04,3.912538110005487485e-02,2.666841942991595715e+00,1.118655008301217436e-03,7.088170591928457612e-04,4.098379465295512707e-04,7.086165259746095898e-04,4.012737180427841666e-02,1.339447908103466034e+00,1.371873323463775746e-03
1.350037814343987104e-03,9.431367945890474632e-04,4.069010185745317097e-04,1.417157093075931996e-03,1.012779199559840334e-03,4.043778911485181320e-04,1.013446184553588652e-03,3.958670375710313799e-02,2.524558099161367863e+00,1.165928729006211187e-03,7.559229254590952261e-04,4.100058034857153688e-04,7.557064727102677168e-04,4.223730611315417577e-02,1.144300570129416883e+00,0.000000000000000000e+00
1.206633159915540153e-03,8.002102975374424760e-04,4.064228611009348935e-04,1.255797939227213918e-03,8.492329433220364814e-04,4.065649974643112266e-04,8.497627263458412206e-04,3.937094026487845955e-02,2.618204089521896094e+00,1.037434363867380293e-03,6.276754163085769772e-04,4.097589465149949380e-04,6.274906299606400470e-04,4.475529322324049708e-02,1.450338878668844700e+00,1.255797939227213918e-03
1.209088915276608717e-03,8.032701406146441946e-04,4.058187739072773568e-04,1.207682377767808207e-03,8.034457734740701280e-04,4.042366060261089991e-04,8.037500714200633252e-04,3.894356086158897584e-02,2.180999182397499681e+00,1.073784064963255631e-03,6.662638745475009871e-04,4.075201877141332199e-04,6.661791160829939450e-04,4.341260502743438110e-02,1.563155572395771742e+00,1.207682377767808207e-03
1.069858903220131420e-03,6.653640578967516235e-04,4.044948458265045193e-04,1.435487250712448896e-03,1.027607926863267820e-03,4.078793243688923036e-04,1.027863483510313989e-03,3.812536130243104199e-02,2.138256210717372596e+00,1.299528828733659703e-03,8.913071983039992348e-04,4.082216310436652461e-04,8.912648020901394342e-04,5.070741192462187297e-02,1.604777686123270541e+00,0.000000000000000000e+00
1.042689774120399799e-03,6.386163712840185573e-04,4.040734059131825882e-04,1.234531923454062650e-03,8.282641260487412114e-04,4.062677983869983096e-04,8.287138971275001282e-04,3.059921237062010815e-02,2.086994283134117723e+00,1.076466131037816330e-03,6.660847003151218124e-04,4.103814320121047191e-04,6.659114455065152927e-04,3.738283579024850173e-02,8.938845537486486137e-01,0.000000000000000000e+00
9.893032832398139520e-04,5.844712903977934129e-04,4.048319937321642379e-04,1.120224926992142078e-03,7.146733305056667592e-04,4.055516035891958571e-04,7.150664837437359193e-04,3.195797319333434222e-02,1.811696690841927193e+00,9.647223532085900857e-04,5.541547373618011278e-04,4.105676155397864876e-04,5.540005309637413122e-04,3.187544214695499367e-02,4.664269047789275646e-01,1.120224926992142078e-03
