# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.776371986255981028e-02,7.713139651001411912e-02,6.323229318173191008e-04,8.730482302665237837e-03,8.149470183222243605e-03,5.810121363047362694e-04,8.153369243056603211e-03,5.210134773423775317e-02,5.887386442213028204e+00,4.774683886030806762e-02,4.715440833335939053e-02,5.924306847479288412e-04,4.700026245612650561e-02,1.973040169623924839e-02,1.113036724796984345e+00,8.730482302665237837e-03
7.695601438791391941e-03,7.124028362747420774e-03,5.715730837843519853e-04,5.189281418949129310e-03,4.636712960847135662e-03,5.525684634145969784e-04,4.639175692606358273e-03,8.445126037707133271e-02,8.451428042601037305e+00,4.468484069240370032e-02,4.412357300374546848e-02,5.612678217744840239e-04,4.396077413650888860e-02,9.278635702826359966e-02,8.184841732130735181e+00,5.189281418949129310e-03
4.946566141641480993e-03,4.400860344213334413e-03,5.457058003307890077e-04,3.421076901889006944e-03,2.889999887436657880e-03,5.310770107566245655e-04,2.891244916200106513e-03,1.019631503026774133e-01,9.429601286588876974e+00,4.500661204905025137e-02,4.446985855657324682e-02,5.367536397153739374e-04,4.430052346064297653e-02,1.216427988670372440e-01,1.044124122882203665e+01,3.421076901889006944e-03
3.418834031803503776e-03,2.894379464123630896e-03,5.244545701567945428e-04,2.430678464450119342e-03,1.922772384464873892e-03,5.079060822373278675e-04,1.923673072994000911e-03,1.233024730745710673e-01,1.072076137176918564e+01,4.563293631831066149e-02,4.511947370918255318e-02,5.134625192377952410e-04,4.494496719947636137e-02,1.646629252643672103e-01,1.276377149233303498e+01,2.430678464450119342e-03
2.448234810451159395e-03,1.945270982531005803e-03,5.029638297004412071e-04,1.968709571797045820e-03,1.463863073680956445e-03,5.048464926879941191e-04,1.464736214635180408e-03,1.354334865840061408e-01,1.178022612144559389e+01,4.655480554169200841e-02,4.603567285726499481e-02,5.191326046063867144e-04,4.585661211434548939e-02,1.715495181423547788e-01,1.297716596959799062e+01,1.968709571797045820e-03
1.933236518023941737e-03,1.436088248815491509e-03,4.971482702146997820e-04,1.771791537369911797e-03,1.275009758948784586e-03,4.967817785943643956e-04,1.276064129920279544e-03,1.453013448671326424e-01,1.239046795738249784e+01,4.737605814569539192e-02,4.685528994081561427e-02,5.207681221119226907e-04,4.667260182650504602e-02,1.749473296874002326e-01,1.313799716687935870e+01,1.771791537369911797e-03
1.687808893853179251e-03,1.188448406847260677e-03,4.993604882056775071e-04,1.727344037915047852e-03,1.226311950645934262e-03,5.010320876155876331e-04,1.227452985046084384e-03,1.396332857189402366e-01,1.169580364209105028e+01,4.793765390132660037e-02,4.740734397222971797e-02,5.303100904573604434e-04,4.722256696720397023e-02,1.774128073962722429e-01,1.299804255091294181e+01,1.727344037915047852e-03
1.579669395141536370e-03,1.077272982737222757e-03,5.023964103531127151e-04,1.672230924697711224e-03,1.169167519875040839e-03,5.030634064972954508e-04,1.170061081843311659e-03,1.394867417876184679e-01,1.153963508287415607e+01,4.833987084357854042e-02,4.780707500822437700e-02,5.327957891809993827e-04,4.762065961620293164e-02,2.050277082992172650e-01,1.457251953023660462e+01,1.672230924697711224e-03
1.517698575124550682e-03,1.016788300942007882e-03,5.009102765820608837e-04,1.660561779447432013e-03,1.159833387877341228e-03,5.007283885095690059e-04,1.160709858589051421e-03,1.332825480380861460e-01,1.139298216299357591e+01,4.866734353672194646e-02,4.813793628846927547e-02,5.294074071571230888e-04,4.795017435256955507e-02,2.154324563992676689e-01,1.533516658637381624e+01,1.660561779447432013e-03
1.469359766138331105e-03,9.716571631601099998e-04,4.977026025137983338e-04,1.672306423498657506e-03,1.174665753506050174e-03,4.976406706855558519e-04,1.175458372385627210e-03,1.423048341945319650e-01,1.186399612371315015e+01,4.903940466833831696e-02,4.851445026365639596e-02,5.249543771745032207e-04,4.832528375629554368e-02,2.146469239830648690e-01,1.541872764464642387e+01,0.000000000000000000e+00
1.442679382849514341e-03,9.485216184483316300e-04,4.941577618855591504e-04,1.626194899371411189e-03,1.134534904387749996e-03,4.916599952723897616e-04,1.135656018874412095e-03,1.517310260622214413e-01,1.277533133554243250e+01,4.884236414360770828e-02,4.832424219296891504e-02,5.181218775722123493e-04,4.813571460786209011e-02,2.113515254379420283e-01,1.538979197402659338e+01,1.626194899371411189e-03
1.409014253093776722e-03,9.186714142994420029e-04,4.903428375558738879e-04,1.570831454638022071e-03,1.082387279316280367e-03,4.884441832329020376e-04,1.083333738216418459e-03,1.581704591350349687e-01,1.282131843588285847e+01,4.911144578781269365e-02,4.859793171107784637e-02,5.135142398145411263e-04,4.840813763986005769e-02,2.112006589670099854e-01,1.523609010169457179e+01,1.570831454638022071e-03
1.375845207416630852e-03,8.892387053724922809e-04,4.866065013088023542e-04,1.629223411631149478e-03,1.142155355727669710e-03,4.870680577513421803e-04,1.143321937977179311e-03,1.508925758120391869e-01,1.263168992238206556e+01,4.921902131823673726e-02,4.870691999325426486e-02,5.121012726692553878e-04,4.851695923695366341e-02,2.159580277321739017e-01,1.554109642961702775e+01,0.000000000000000000e+00
