# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.800763758194156905e-02,7.713139651001411912e-02,8.762409879830343864e-04,8.928786042989009242e-03,8.149470183222243605e-03,7.793158233869776743e-04,8.153369243056603211e-03,5.210134773423775317e-02,5.887386442213028204e+00,4.796038376057387004e-02,4.715440833335939053e-02,8.059757423217757790e-04,4.700026245612650561e-02,1.973040169623924839e-02,1.113036724796984345e+00,8.928786042989009242e-03
7.883843709776633055e-03,7.124028362747420774e-03,7.598153386309005036e-04,5.363678142967973593e-03,4.636712960847135662e-03,7.269651824095663909e-04,4.639175692606358273e-03,8.445126037707133271e-02,8.451428042601037305e+00,4.487120541193785617e-02,4.412357300374546848e-02,7.476327269837134901e-04,4.396077413650888860e-02,9.278635702826359966e-02,8.184841732130735181e+00,5.363678142967973593e-03
5.112146714577163638e-03,4.400860344213334413e-03,7.112863669193602309e-04,3.577006808001666205e-03,2.889999887436657880e-03,6.870069187748918758e-04,2.891244916200106513e-03,1.019631503026774133e-01,9.429601286588876974e+00,4.517227658836901749e-02,4.446985855657324682e-02,7.024183473942745976e-04,4.430052346064297653e-02,1.216427988670372440e-01,1.044124122882203665e+01,3.577006808001666205e-03
3.566451691167845175e-03,2.894379464123630896e-03,6.720722263475801227e-04,2.568205346867057700e-03,1.922772384464873892e-03,6.454329610162873104e-04,1.923673072994000911e-03,1.233024730745710673e-01,1.072076137176918564e+01,4.578072625410817970e-02,4.511947370918255318e-02,6.612528860667240931e-04,4.494496719947636137e-02,1.646629252643672103e-01,1.276377149233303498e+01,2.568205346867057700e-03
2.579627998629609696e-03,1.945270982531005803e-03,6.343570196204768993e-04,2.103337744114151635e-03,1.463863073680956445e-03,6.394746653515741936e-04,1.464736214635180408e-03,1.354334865840061408e-01,1.178022612144559389e+01,4.670686056033829942e-02,4.603567285726499481e-02,6.711883003772373775e-04,4.585661211434548939e-02,1.715495181423547788e-01,1.297716596959799062e+01,2.103337744114151635e-03
2.060889117351604339e-03,1.436088248815491509e-03,6.248008671815463060e-04,1.900850673712464875e-03,1.275009758948784586e-03,6.258409208847239566e-04,1.276064129920279544e-03,1.453013448671326424e-01,1.239046795738249784e+01,4.752915340180033366e-02,4.685528994081561427e-02,6.738638017574160146e-04,4.667260182650504602e-02,1.749473296874002326e-01,1.313799716687935870e+01,1.900850673712464875e-03
1.818246941067937260e-03,1.188448406847260677e-03,6.297985323242832759e-04,1.859676737536025736e-03,1.226311950645934262e-03,6.333647841760437370e-04,1.227452985046084384e-03,1.396332857189402366e-01,1.169580364209105028e+01,4.809808802991351329e-02,4.740734397222971797e-02,6.907443956320688527e-04,4.722256696720397023e-02,1.774128073962722429e-01,1.299804255091294181e+01,1.859676737536025736e-03
1.712882221057798141e-03,1.077272982737222757e-03,6.356092390172094321e-04,1.806081433425701759e-03,1.169167519875040839e-03,6.369139115295617028e-04,1.170061081843311659e-03,1.394867417876184679e-01,1.153963508287415607e+01,4.850208212303210031e-02,4.780707500822437700e-02,6.950075220157498354e-04,4.762065961620293164e-02,2.050277082992172650e-01,1.457251953023660462e+01,1.806081433425701759e-03
1.649917630547474354e-03,1.016788300942007882e-03,6.331293262384009475e-04,1.792517968357377990e-03,1.159833387877341228e-03,6.326845830208474228e-04,1.160709858589051421e-03,1.332825480380861460e-01,1.139298216299357591e+01,4.882652707420533089e-02,4.813793628846927547e-02,6.885910977733239501e-04,4.795017435256955507e-02,2.154324563992676689e-01,1.533516658637381624e+01,1.792517968357377990e-03
1.599067405356649095e-03,9.716571631601099998e-04,6.274102433575961309e-04,1.801842854345320731e-03,1.174665753506050174e-03,6.271770980674773455e-04,1.175458372385627210e-03,1.423048341945319650e-01,1.186399612371315015e+01,4.919500425158319923e-02,4.851445026365639596e-02,6.805544253438711166e-04,4.832528375629554368e-02,2.146469239830648690e-01,1.541872764464642387e+01,0.000000000000000000e+00
1.569754978303767885e-03,9.485216184483316300e-04,6.212333568560387577e-04,1.751187845550861936e-03,1.134534904387749996e-03,6.166529363124734946e-04,1.135656018874412095e-03,1.517310260622214413e-01,1.277533133554243250e+01,4.899276751791076245e-02,4.832424219296891504e-02,6.685256860995044672e-04,4.813571460786209011e-02,2.113515254379420283e-01,1.538979197402659338e+01,1.751187845550861936e-03
1.533076794387059358e-03,9.186714142994420029e-04,6.144053820033615028e-04,1.693390261073271638e-03,1.082387279316280367e-03,6.110029816414997783e-04,1.083333738216418459e-03,1.581704591350349687e-01,1.282131843588285847e+01,4.925823261797279001e-02,4.859793171107784637e-02,6.603012304755030140e-04,4.840813763986005769e-02,2.112006589670099854e-01,1.523609010169457179e+01,1.693390261073271638e-03
