# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.713139651001411912e-02,7.713139651001411912e-02,0.000000000000000000e+00,8.149470183222243605e-03,8.149470183222243605e-03,0.000000000000000000e+00,8.153369243056603211e-03,5.210134773423775317e-02,5.095887572800620546e+00,4.715440833335939053e-02,4.715440833335939053e-02,0.000000000000000000e+00,4.700026245612650561e-02,1.973040169623924839e-02,3.793322676995013687e+00,8.149470183222243605e-03
7.124028362747420774e-03,7.124028362747420774e-03,0.000000000000000000e+00,4.636712960847135662e-03,4.636712960847135662e-03,0.000000000000000000e+00,4.639175692606358273e-03,8.445126037707133271e-02,6.138074018889077443e+00,4.412357300374546848e-02,4.412357300374546848e-02,0.000000000000000000e+00,4.396077413650888860e-02,9.278635702826359966e-02,5.462834664872652013e+00,4.636712960847135662e-03
4.400860344213334413e-03,4.400860344213334413e-03,0.000000000000000000e+00,2.889999887436657880e-03,2.889999887436657880e-03,0.000000000000000000e+00,2.891244916200106513e-03,1.019631503026774133e-01,7.226523234271649443e+00,4.446985855657324682e-02,4.446985855657324682e-02,0.000000000000000000e+00,4.430052346064297653e-02,1.216427988670372440e-01,6.718375519430990650e+00,2.889999887436657880e-03
2.894379464123630896e-03,2.894379464123630896e-03,0.000000000000000000e+00,1.922772384464873892e-03,1.922772384464873892e-03,0.000000000000000000e+00,1.923673072994000911e-03,1.233024730745710673e-01,8.116309424846171794e+00,4.511947370918255318e-02,4.511947370918255318e-02,0.000000000000000000e+00,4.494496719947636137e-02,1.646629252643672103e-01,7.514486988349381669e+00,1.922772384464873892e-03
1.945270982531005803e-03,1.945270982531005803e-03,0.000000000000000000e+00,1.463863073680956445e-03,1.463863073680956445e-03,0.000000000000000000e+00,1.464736214635180408e-03,1.354334865840061408e-01,8.576533654839932908e+00,4.603567285726499481e-02,4.603567285726499481e-02,0.000000000000000000e+00,4.585661211434548939e-02,1.715495181423547788e-01,7.518114418324693737e+00,1.463863073680956445e-03
1.436088248815491509e-03,1.436088248815491509e-03,0.000000000000000000e+00,1.275009758948784586e-03,1.275009758948784586e-03,0.000000000000000000e+00,1.276064129920279544e-03,1.453013448671326424e-01,8.850291167657179159e+00,4.685528994081561427e-02,4.685528994081561427e-02,0.000000000000000000e+00,4.667260182650504602e-02,1.749473296874002326e-01,7.488332601576986214e+00,1.275009758948784586e-03
1.188448406847260677e-03,1.188448406847260677e-03,0.000000000000000000e+00,1.226311950645934262e-03,1.226311950645934262e-03,0.000000000000000000e+00,1.227452985046084384e-03,1.396332857189402366e-01,8.647573643274425237e+00,4.740734397222971797e-02,4.740734397222971797e-02,0.000000000000000000e+00,4.722256696720397023e-02,1.774128073962722429e-01,7.311825786247211134e+00,1.226311950645934262e-03
1.077272982737222757e-03,1.077272982737222757e-03,0.000000000000000000e+00,1.169167519875040839e-03,1.169167519875040839e-03,0.000000000000000000e+00,1.170061081843311659e-03,1.394867417876184679e-01,8.588014847197978696e+00,4.780707500822437700e-02,4.780707500822437700e-02,0.000000000000000000e+00,4.762065961620293164e-02,2.050277082992172650e-01,7.414368502142312245e+00,1.169167519875040839e-03
1.016788300942007882e-03,1.016788300942007882e-03,0.000000000000000000e+00,1.159833387877341228e-03,1.159833387877341228e-03,0.000000000000000000e+00,1.160709858589051421e-03,1.332825480380861460e-01,8.745305696814375196e+00,4.813793628846927547e-02,4.813793628846927547e-02,0.000000000000000000e+00,4.795017435256955507e-02,2.154324563992676689e-01,7.700281530697254517e+00,1.159833387877341228e-03
9.716571631601099998e-04,9.716571631601099998e-04,0.000000000000000000e+00,1.174665753506050174e-03,1.174665753506050174e-03,0.000000000000000000e+00,1.175458372385627210e-03,1.423048341945319650e-01,8.875701174990448195e+00,4.851445026365639596e-02,4.851445026365639596e-02,0.000000000000000000e+00,4.832528375629554368e-02,2.146469239830648690e-01,7.877254621627800546e+00,0.000000000000000000e+00
9.485216184483316300e-04,9.485216184483316300e-04,0.000000000000000000e+00,1.134534904387749996e-03,1.134534904387749996e-03,0.000000000000000000e+00,1.135656018874412095e-03,1.517310260622214413e-01,8.958884558575569201e+00,4.832424219296891504e-02,4.832424219296891504e-02,0.000000000000000000e+00,4.813571460786209011e-02,2.113515254379420283e-01,8.007059034769195449e+00,1.134534904387749996e-03
9.186714142994420029e-04,9.186714142994420029e-04,0.000000000000000000e+00,1.082387279316280367e-03,1.082387279316280367e-03,0.000000000000000000e+00,1.083333738216418459e-03,1.581704591350349687e-01,9.029415950395101476e+00,4.859793171107784637e-02,4.859793171107784637e-02,0.000000000000000000e+00,4.840813763986005769e-02,2.112006589670099854e-01,8.168908261490289036e+00,1.082387279316280367e-03
8.892387053724922809e-04,8.892387053724922809e-04,0.000000000000000000e+00,1.142155355727669710e-03,1.142155355727669710e-03,0.000000000000000000e+00,1.143321937977179311e-03,1.508925758120391869e-01,8.996329802245533358e+00,4.870691999325426486e-02,4.870691999325426486e-02,0.000000000000000000e+00,4.851695923695366341e-02,2.159580277321739017e-01,8.140521040231400107e+00,0.000000000000000000e+00
8.703843547103114501e-04,8.703843547103114501e-04,0.000000000000000000e+00,1.097763997908230739e-03,1.097763997908230739e-03,0.000000000000000000e+00,1.098886366412849371e-03,1.742724321313744718e-01,9.179761743909965688e+00,4.891776729164888649e-02,4.891776729164888649e-02,0.000000000000000000e+00,4.872679822769807739e-02,2.238763903596411586e-01,8.311678933630171073e+00,0.000000000000000000e+00
8.567946724918116099e-04,8.567946724918116099e-04,0.000000000000000000e+00,1.094985586874711730e-03,1.094985586874711730e-03,0.000000000000000000e+00,1.096110426016350418e-03,1.795146641249624753e-01,9.258721166344116682e+00,4.895594981948468011e-02,4.895594981948468011e-02,0.000000000000000000e+00,4.876474911305764964e-02,2.255934055761609491e-01,8.295746740758477955e+00,0.000000000000000000e+00
8.414708204617590576e-04,8.414708204617590576e-04,0.000000000000000000e+00,1.047977212389620714e-03,1.047977212389620714e-03,0.000000000000000000e+00,1.049020181224228666e-03,1.751358598825551172e-01,9.233244645148738883e+00,4.934621833936303492e-02,4.934621833936303492e-02,0.000000000000000000e+00,4.915342163722916796e-02,2.279681901378263487e-01,8.389616107507027465e+00,1.047977212389620714e-03
8.303048422757011411e-04,8.303048422757011411e-04,0.000000000000000000e+00,1.022488831141446248e-03,1.022488831141446248e-03,0.000000000000000000e+00,1.023440312812064906e-03,1.793117329818780248e-01,9.325346905489210414e+00,4.940924496770117413e-02,4.940924496770117413e-02,0.000000000000000000e+00,4.921605268133575489e-02,2.297753186771370471e-01,8.451662186866453652e+00,1.022488831141446248e-03
8.146481832614455802e-04,8.146481832614455802e-04,0.000000000000000000e+00,1.023940948745428016e-03,1.023940948745428016e-03,0.000000000000000000e+00,1.024943727858378551e-03,1.771154465376815756e-01,9.298212969771627812e+00,4.943287177298724688e-02,4.943287177298724688e-02,0.000000000000000000e+00,4.923961506184309361e-02,2.297864322318942665e-01,8.406195999095507077e+00,0.000000000000000000e+00
