# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.770405201107620508e-02,7.700361559932873690e-02,7.004365492553296137e-04,8.574148692700657437e-03,8.062861257395336975e-03,5.112874415996004462e-04,8.066757734472991895e-03,5.407434195657571940e-02,5.116868216269996772e+00,4.747901399097236713e-02,4.701783679983723846e-02,4.611773834414465692e-04,4.686345705164327718e-02,1.973040169623924839e-02,3.823558367094665567e+00,8.574148692700657437e-03
7.416453228289994482e-03,7.028685209274469943e-03,3.877680052376470993e-04,4.891520442296972380e-03,4.536964624310799339e-03,3.545558202382554053e-04,4.539361453048429071e-03,9.237445547673885093e-02,6.165558385699023702e+00,4.438230781992779511e-02,4.409616282416059518e-02,2.861452721921876451e-04,4.393304882206115758e-02,8.809850555387649385e-02,5.588130267670647022e+00,4.891520442296972380e-03
4.589989036755101615e-03,4.316261528459862731e-03,2.737275046959613775e-04,3.066303501818476787e-03,2.807814286955233069e-03,2.584892210709060318e-04,2.809019244417610989e-03,1.059332142403309335e-01,7.306274104201207820e+00,4.469553534632139669e-02,4.449601704107385147e-02,1.995182209753800667e-04,4.432632486478433470e-02,1.283468210684676203e-01,6.795347450278494073e+00,3.066303501818476787e-03
3.017492088281172827e-03,2.817040136157648780e-03,2.004519471696805872e-04,2.053113656334711913e-03,1.862035809955116163e-03,1.910778419620501561e-04,1.862925801221645972e-03,1.255721834940797532e-01,8.110314463115267714e+00,4.533030947705707359e-02,4.518416962603043902e-02,1.461399205933808416e-04,4.500921059194316204e-02,1.702814618263979729e-01,7.581150983734554316e+00,2.053113656334711913e-03
2.041275458511936265e-03,1.890821778439939023e-03,1.504536809718163344e-04,1.589251679852456958e-03,1.426675342719092767e-03,1.625763379995496779e-04,1.427561002113399450e-03,1.317093781495299043e-01,8.709697486158891166e+00,4.625039647740041004e-02,4.612041515286399024e-02,1.299818257792884155e-04,4.594089329011216000e-02,1.618516586391759993e-01,7.537137114894719936e+00,1.589251679852456958e-03
1.540713490186967601e-03,1.408185271739444480e-03,1.325282176589717676e-04,1.411601359515251295e-03,1.263060688668499708e-03,1.485406649855634516e-04,1.264126672624188517e-03,1.430587797426335073e-01,8.805460540930560853e+00,4.700901950606369006e-02,4.688645986410816535e-02,1.225594610082897330e-04,4.670361995378488618e-02,1.830325785954027840e-01,7.569313313548628130e+00,1.411601359515251295e-03
1.305435016276649271e-03,1.177670848111565154e-03,1.277641680151142913e-04,1.366145184586038978e-03,1.219272272248331061e-03,1.468729117891237623e-04,1.220415598592921192e-03,1.388500402478551887e-01,8.671634383890248543e+00,4.750652102638578539e-02,4.738251976659010878e-02,1.240016893074279982e-04,4.719780966865543687e-02,1.778206975141616297e-01,7.499704087547431897e+00,1.366145184586038978e-03
1.196892605103710809e-03,1.070917782813689528e-03,1.259748239493653304e-04,1.304199434618192157e-03,1.159393455646562463e-03,1.448059761420904918e-04,1.160291270814697417e-03,1.404286905209664871e-01,8.723759234726367495e+00,4.786591354894102063e-02,4.774386632277823062e-02,1.220472199306430388e-04,4.755762973245576675e-02,2.074915706083784450e-01,7.590071836802234628e+00,1.304199434618192157e-03
1.135824972616899901e-03,1.011145311574008316e-03,1.246796647582743228e-04,1.291388262221257162e-03,1.148985013262265355e-03,1.424032510667096977e-04,1.149858415269743852e-03,1.409865874913888151e-01,8.793195475638553305e+00,4.819994307953750362e-02,4.808127126294946957e-02,1.186716858510523319e-04,4.789366707576482585e-02,2.182257609690035349e-01,7.845319597724303762e+00,1.291388262221257162e-03
1.088047364511170352e-03,9.657209224740731382e-04,1.223264410695496928e-04,1.302489259701577074e-03,1.162307370880929060e-03,1.401818849805590956e-04,1.163095174832354597e-03,1.448678650961426617e-01,8.976324438278160400e+00,4.856385091586894881e-02,4.844866806635326345e-02,1.151827813764957426e-04,4.825969913899245956e-02,2.112139498858447706e-01,8.136345070949760228e+00,0.000000000000000000e+00
