# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.880439640312614236e-02,7.704522124766570446e-02,1.759175267096868686e-03,1.036013801404762902e-02,8.113330032395582939e-03,2.246807941923006577e-03,8.117112341322252692e-03,5.197716525782747343e-02,4.972965982174260446e+00,4.836843273787118369e-02,4.710539933372650395e-02,1.263033386277140910e-03,4.695218415124689793e-02,1.878107803504738826e-02,3.629565034589907313e+00,1.036013801404762902e-02
8.999500766413861749e-03,7.100272923862769626e-03,1.899227837626274191e-03,6.626752447724963517e-03,4.470052978297370597e-03,2.156699467868459022e-03,4.472442198899455150e-03,7.941307683952512908e-02,6.193406885944479967e+00,4.572864878777304493e-02,4.388523350650531257e-02,1.843414926741327158e-03,4.372278963780917849e-02,7.809129787145679957e-02,5.487362489694070256e+00,6.626752447724963517e-03
6.012414902370631122e-03,4.285008085370212508e-03,1.727406802729092306e-03,4.690064739580044641e-03,2.743342031848557822e-03,1.946722698434429771e-03,2.744647888050480173e-03,9.983669245804541181e-02,7.323274843204035989e+00,4.601049979211455782e-02,4.420870033074131289e-02,1.801799839323942574e-03,4.403973101071530921e-02,1.322977999154676676e-01,6.786789906724151500e+00,4.690064739580044641e-03
4.357191782161108293e-03,2.797778299127264522e-03,1.559413487987686879e-03,3.576072000358844916e-03,1.844012085856529910e-03,1.732059916032576167e-03,1.845062692842274182e-03,1.216883846558877852e-01,8.205748106901497252e+00,4.631042532094278852e-02,4.472269127263298755e-02,1.587734207782215629e-03,4.454937669427307123e-02,1.469029327859013856e-01,7.347261313169292762e+00,3.576072000358844916e-03
3.365829595729356773e-03,1.918426521831164853e-03,1.447403078527907151e-03,3.154206286703738985e-03,1.439556771069802014e-03,1.714649508906563539e-03,1.440579029919768260e-03,1.352460725386674945e-01,8.900743586498629512e+00,4.711278875035190827e-02,4.554197026017801908e-02,1.570818382602154686e-03,4.536457976513913470e-02,1.689945900835162218e-01,7.758536812337842647e+00,3.154206286703738985e-03
2.941933621301320596e-03,1.496719998845327717e-03,1.445213622054460773e-03,3.014630456048522211e-03,1.376957012643475944e-03,1.637673441961403969e-03,1.378164955505376292e-03,1.259534993585666174e-01,9.034034144987440840e+00,4.728514870298625855e-02,4.579102772129365478e-02,1.494120862798712941e-03,4.561276343501033392e-02,1.800033652734408796e-01,7.797845376619082280e+00,3.014630456048522211e-03
2.773720441101876731e-03,1.317023243439294613e-03,1.456697195959698625e-03,2.984757406964144016e-03,1.383858263291167260e-03,1.600899137869534611e-03,1.385153062311991366e-03,1.465968357633248564e-01,9.179274263708698811e+00,4.751449504784673733e-02,4.601789465717350675e-02,1.496600599562005135e-03,4.583886417357217052e-02,2.089456666055058975e-01,8.005819816277657708e+00,2.984757406964144016e-03
2.674299364561522237e-03,1.232987405680258759e-03,1.441311965247726390e-03,2.858794020352116265e-03,1.196742233347206780e-03,1.662051789141500303e-03,1.197767730299486655e-03,1.592871154537497669e-01,9.336041160108923265e+00,4.783151087052491673e-02,4.625034995781324848e-02,1.581160650366098940e-03,4.606979763315779963e-02,2.204238136433884776e-01,8.390970262301562954e+00,2.858794020352116265e-03
2.596081974030660464e-03,1.170273121464019067e-03,1.425808857027035690e-03,2.804950139732913239e-03,1.162016704689622718e-03,1.642933442088265368e-03,1.163029207258627247e-03,1.547530190284761575e-01,9.477324766628498764e+00,4.803379970226429041e-02,4.646436886700805458e-02,1.569430461948114657e-03,4.628293443338206414e-02,2.205812169265271849e-01,8.536116419475005657e+00,2.804950139732913239e-03
2.524245028945052566e-03,1.124050589730378599e-03,1.400194440177383913e-03,2.799609902135599074e-03,1.129803621479945818e-03,1.669806284235886371e-03,1.130713543056280270e-03,1.517161017314193339e-01,9.685830871051344104e+00,4.844177933729092861e-02,4.685697637074470040e-02,1.584802755208752478e-03,4.667389006592138206e-02,2.272803600979897420e-01,8.822629452474943790e+00,2.799609902135599074e-03
