# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.825323903841521767e-02,7.709508040793576489e-02,1.158158599155092137e-03,9.588994654930300954e-03,8.107349446545990962e-03,1.481645203995636756e-03,8.111188669736322035e-03,5.227991334842630594e-02,5.012691324861131115e+00,4.812441770584648809e-02,4.708239469551461776e-02,1.042022568862374394e-03,4.692867865301519198e-02,1.974842992851746915e-02,3.696107790675887905e+00,9.588994654930300954e-03
8.193514257343733828e-03,7.059782339715736134e-03,1.133731919205100509e-03,5.764732262053128171e-03,4.492847355625902324e-03,1.271884906456097935e-03,4.495235171907558704e-03,9.039498625719556701e-02,6.179550981927515174e+00,4.544377742523822428e-02,4.399992125344615729e-02,1.443856188247396926e-03,4.383696600504691926e-02,8.657407672220429617e-02,5.613521733413373127e+00,5.764732262053128171e-03
5.252544954542982467e-03,4.292105255367362725e-03,9.604397044850361683e-04,3.824025241469609492e-03,2.753280333727450499e-03,1.070744911149155250e-03,2.754530889252443208e-03,1.012207513422077321e-01,7.362992191444122092e+00,4.562454405319307099e-02,4.435935893630459786e-02,1.265184825788770841e-03,4.418988173727657343e-02,1.366233729006672837e-01,6.760899205774331122e+00,3.824025241469609492e-03
3.591088074670629147e-03,2.788583804237745271e-03,8.025042759043648924e-04,2.705547753961697749e-03,1.815712644389667852e-03,8.898351040573158855e-04,1.816627224773025408e-03,1.198446810613745528e-01,8.210717995605863351e+00,4.623086670784963548e-02,4.510423161749107374e-02,1.126635057662804182e-03,4.492933385158139059e-02,1.677721892239163182e-01,7.768259328653948081e+00,2.705547753961697749e-03
2.579744438024019967e-03,1.888994043180533327e-03,6.907503976638876709e-04,2.251231867361754707e-03,1.402426830382965967e-03,8.488050312619649157e-04,1.403344467456707403e-03,1.340682195367609297e-01,8.833110086600845179e+00,4.711788846621926125e-02,4.597917125429683283e-02,1.138717332482288907e-03,4.580000948887966161e-02,1.730219338762522263e-01,7.628572550999524360e+00,2.251231867361754707e-03
2.130839675025546134e-03,1.448038942784323716e-03,6.828007332644042823e-04,2.103113981392530380e-03,1.260513297951085460e-03,8.426006741155149180e-04,1.261536899627142697e-03,1.499246538149899000e-01,8.803527634344119335e+00,4.769679802673267716e-02,4.652502090153912834e-02,1.171776823103152718e-03,4.634349951561372166e-02,1.894092472792357207e-01,7.720723702646500541e+00,2.103113981392530380e-03
1.946455085418803905e-03,1.246011270926286824e-03,7.004438161566986770e-04,2.096362059958101903e-03,1.243455549387911764e-03,8.529065129955091997e-04,1.244605143668907907e-03,1.463389641844560496e-01,8.998714184159226193e+00,4.806702470682946288e-02,4.686113578974238081e-02,1.205889085447219315e-03,4.667838810449279757e-02,2.085328984507049954e-01,7.823542128239933113e+00,2.096362059958101903e-03
1.865938154065937020e-03,1.153471750164518491e-03,7.124664059743891211e-04,2.034353470316134591e-03,1.163583415276777527e-03,8.707700561942710105e-04,1.164477908454841434e-03,1.416148251634403998e-01,9.128928598785469362e+00,4.829888013245553502e-02,4.706863992548358799e-02,1.230239964839128022e-03,4.688488263582819143e-02,2.332616843061435241e-01,8.158320967158946502e+00,2.034353470316134591e-03
1.807976753975418325e-03,1.088229498333369598e-03,7.197472568031058719e-04,2.013019161480885527e-03,1.147420527154786743e-03,8.655986345282087055e-04,1.148304344960671955e-03,1.395305158345198082e-01,9.242887564248572829e+00,4.864597754608957630e-02,4.742205644481744392e-02,1.223920334334006746e-03,4.723684045116234576e-02,2.254148389240911987e-01,8.408304886634875075e+00,2.013019161480885527e-03
1.754503220891297580e-03,1.045202046488486088e-03,7.093011732393356009e-04,2.017757542605053567e-03,1.151860391675856889e-03,8.658971551013232987e-04,1.152649142323637632e-03,1.387000671147045061e-01,9.344224699593089767e+00,4.903023598670472327e-02,4.782187245601497716e-02,1.208362982383406545e-03,4.763517463669181273e-02,2.406349832109353770e-01,8.518454680040310478e+00,0.000000000000000000e+00
1.725076730431186322e-03,1.013819403484144104e-03,7.112573275807858178e-04,1.963409915449105137e-03,1.113043002468267753e-03,8.503669073506320980e-04,1.114094015447359906e-03,1.435824266020560569e-01,9.493839850224961907e+00,4.883538092361794369e-02,4.766743802386905898e-02,1.167942575201267414e-03,4.748124352838042905e-02,2.305957597225469502e-01,8.620346297208753228e+00,1.963409915449105137e-03
1.674150471483292846e-03,9.717755825825387687e-04,7.023748868955118595e-04,1.914581167858116131e-03,1.067722089092491096e-03,8.468590773508554749e-04,1.068605312151390055e-03,1.416611965715969534e-01,9.677047927948942529e+00,4.904656939798934800e-02,4.788929984569824383e-02,1.157269052828844864e-03,4.770210734340866315e-02,2.269709188891356477e-01,8.728789167602377219e+00,1.914581167858116131e-03
1.634372817360154424e-03,9.400834094660550071e-04,6.942894101001079047e-04,1.958520047847987344e-03,1.139303309462284504e-03,8.192167339537206059e-04,1.140439277541641398e-03,1.423045195501187743e-01,9.742675431233424277e+00,4.904609948189394414e-02,4.794085849830998641e-02,1.105240873508238787e-03,4.775370462714324804e-02,2.185877036015075048e-01,8.787889277430082302e+00,0.000000000000000000e+00
1.602276082849130034e-03,9.203341526680308606e-04,6.819419332796701613e-04,1.879221281602180523e-03,1.058671515830422825e-03,8.205497647323350269e-04,1.059670936598792633e-03,1.453190530998622887e-01,9.833627515477475711e+00,4.913997989789414128e-02,4.802546198202300998e-02,1.114517865645530282e-03,4.783770002656280440e-02,2.185871272104548124e-01,8.898277395092017983e+00,1.879221281602180523e-03
1.579174921952220109e-03,9.071872511335544358e-04,6.719876688327744039e-04,1.852200970692109185e-03,1.033254290329447709e-03,8.189466842316231584e-04,1.034201607926125022e-03,1.495822951024087799e-01,9.905089033795166031e+00,4.928928181919060847e-02,4.817286490294237639e-02,1.116417207440041030e-03,4.798443994784391126e-02,2.223968830005389197e-01,8.941602173064900683e+00,1.852200970692109185e-03
1.552345792585216105e-03,8.840039456040261383e-04,6.683418457064459845e-04,1.823816186515614390e-03,1.023844890860057264e-03,7.999712949048631318e-04,1.024837204924387369e-03,1.442113651815784547e-01,1.000904798355832526e+01,4.947505793352473952e-02,4.838451451522726710e-02,1.090543463089128050e-03,4.819525051616863759e-02,2.288895890220460083e-01,9.045369812838913504e+00,1.823816186515614390e-03
