# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.854174625715537594e-02,7.727027959140771174e-02,1.271467153033649638e-03,9.488409061709212125e-03,8.127512067504640697e-03,1.360896995590467600e-03,8.131382264709332078e-03,5.228438812907292010e-02,5.027138508651750826e+00,4.822324064878534544e-02,4.710703072597897251e-02,1.116210288139264477e-03,4.695309721112845419e-02,1.973071325654415786e-02,3.726478656851395677e+00,9.488409061709212125e-03
8.108125595057611573e-03,7.080714152834843844e-03,1.027411438671867704e-03,5.672209824542588825e-03,4.522050644496514865e-03,1.150159210131581180e-03,4.524449593148023585e-03,9.039487402980346531e-02,6.174365769208726817e+00,4.529324312545044556e-02,4.401752774363957427e-02,1.275715779563223401e-03,4.385459846599085859e-02,8.696475372051103159e-02,5.611322462351099993e+00,5.672209824542588825e-03
5.191264264756179775e-03,4.325005605735102523e-03,8.662586538737238962e-04,3.743913609512327517e-03,2.778199766272870970e-03,9.657138377824883366e-04,2.779426989181257076e-03,1.029403280617844640e-01,7.325612899476166895e+00,4.550844310480268301e-02,4.439454290717211732e-02,1.113900596426725198e-03,4.422505081492122958e-02,1.261155319683638643e-01,6.759179202904486594e+00,3.743913609512327517e-03
3.539277796780299253e-03,2.812854338891214619e-03,7.264234609320215216e-04,2.649293655330048954e-03,1.833382071622292452e-03,8.159115751036479739e-04,1.834299952694840074e-03,1.238513084141412424e-01,8.218051845663193689e+00,4.606398811783908587e-02,4.506195959304007403e-02,1.002028918990134502e-03,4.488729680641834197e-02,1.677721892239163182e-01,7.684064033305189056e+00,2.649293655330048954e-03
2.526151019063694117e-03,1.901147233280774422e-03,6.250037812596348453e-04,2.193221251160600970e-03,1.410502337435785153e-03,7.827189197592411638e-04,1.411434617250376068e-03,1.309965106039922278e-01,8.774074292553908805e+00,4.695503936637436537e-02,4.594200109215138689e-02,1.013038654875291324e-03,4.576301890101733966e-02,1.606451145447249929e-01,7.650977182447969760e+00,2.193221251160600970e-03
2.060816396399961069e-03,1.445843926589116240e-03,6.149724697237655057e-04,2.056613302787780630e-03,1.280828757559887999e-03,7.757845382117906302e-04,1.281918521189343366e-03,1.457569499612318131e-01,8.805924263935503760e+00,4.753384702811450091e-02,4.649367676517348474e-02,1.040170635273562254e-03,4.631236807287762713e-02,1.849092101213527517e-01,7.619477112770257854e+00,2.056613302787780630e-03
1.871477531630204132e-03,1.236381642616408375e-03,6.350958892218183747e-04,2.023719504774947314e-03,1.234876668489065087e-03,7.888428318394636240e-04,1.236017184625135337e-03,1.509852457278692828e-01,9.008590278370586901e+00,4.794728784981077546e-02,4.686931719245066713e-02,1.077971043507764933e-03,4.668653421003438053e-02,2.128070732640617857e-01,7.793768282448581886e+00,2.023719504774947314e-03
1.781276951929767257e-03,1.135890383050130537e-03,6.453865708534338224e-04,1.955952320944532620e-03,1.158946035993433385e-03,7.970062793497669027e-04,1.159849114064841246e-03,1.453744560739502756e-01,9.025912859151771883e+00,4.820591423568170580e-02,4.711994093833962727e-02,1.085973664087180489e-03,4.693598839301904579e-02,2.347880635947175720e-01,8.102979235617388198e+00,1.955952320944532620e-03
1.722113764272046633e-03,1.071911907274625264e-03,6.502018560298738212e-04,1.940304193080269772e-03,1.144736046655221934e-03,7.955681426715778635e-04,1.145609918262038580e-03,1.382249449812587017e-01,9.177666567580944346e+00,4.856713323407896993e-02,4.749233130845025019e-02,1.074802315214802096e-03,4.730686871207089722e-02,2.299827252417866452e-01,8.408021021982136745e+00,1.940304193080269772e-03
1.671855394887004692e-03,1.026537076618393596e-03,6.453183149886248951e-04,1.941709002869809872e-03,1.148676897014772090e-03,7.930321087278860079e-04,1.149471493680763587e-03,1.478209466509390613e-01,9.331654401723699976e+00,4.887151806728269599e-02,4.781818222711334276e-02,1.053336229571239608e-03,4.763150432609101342e-02,2.383068436760926445e-01,8.511813205353981004e+00,0.000000000000000000e+00
