# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
7.88E-02,7.70E-02,1.76E-03,1.04E-02,8.11E-03,2.25E-03,8.12E-03,5.20E-02,4.97E+00,4.84E-02,4.71E-02,1.26E-03,4.70E-02,1.88E-02,3.63E+00,1.04E-02
9.00E-03,7.10E-03,1.90E-03,6.63E-03,4.47E-03,2.16E-03,4.47E-03,7.94E-02,6.19E+00,4.57E-02,4.39E-02,1.84E-03,4.37E-02,7.81E-02,5.49E+00,6.63E-03
6.01E-03,4.29E-03,1.73E-03,4.69E-03,2.74E-03,1.95E-03,2.74E-03,9.98E-02,7.32E+00,4.60E-02,4.42E-02,1.80E-03,4.40E-02,1.32E-01,6.79E+00,4.69E-03
4.36E-03,2.80E-03,1.56E-03,3.58E-03,1.84E-03,1.73E-03,1.85E-03,1.22E-01,8.21E+00,4.63E-02,4.47E-02,1.59E-03,4.45E-02,1.47E-01,7.35E+00,3.58E-03
3.37E-03,1.92E-03,1.45E-03,3.15E-03,1.44E-03,1.71E-03,1.44E-03,1.35E-01,8.90E+00,4.71E-02,4.55E-02,1.57E-03,4.54E-02,1.69E-01,7.76E+00,3.15E-03
2.94E-03,1.50E-03,1.45E-03,3.01E-03,1.38E-03,1.64E-03,1.38E-03,1.26E-01,9.03E+00,4.73E-02,4.58E-02,1.49E-03,4.56E-02,1.80E-01,7.80E+00,3.01E-03
2.77E-03,1.32E-03,1.46E-03,2.98E-03,1.38E-03,1.60E-03,1.39E-03,1.47E-01,9.18E+00,4.75E-02,4.60E-02,1.50E-03,4.58E-02,2.09E-01,8.01E+00,2.98E-03
2.67E-03,1.23E-03,1.44E-03,2.86E-03,1.20E-03,1.66E-03,1.20E-03,1.59E-01,9.34E+00,4.78E-02,4.63E-02,1.58E-03,4.61E-02,2.20E-01,8.39E+00,2.86E-03
2.60E-03,1.17E-03,1.43E-03,2.80E-03,1.16E-03,1.64E-03,1.16E-03,1.55E-01,9.48E+00,4.80E-02,4.65E-02,1.57E-03,4.63E-02,2.21E-01,8.54E+00,2.80E-03
2.52E-03,1.12E-03,1.40E-03,2.80E-03,1.13E-03,1.67E-03,1.13E-03,1.52E-01,9.69E+00,4.84E-02,4.69E-02,1.58E-03,4.67E-02,2.27E-01,8.82E+00,2.80E-03
2.47E-03,1.09E-03,1.38E-03,2.72E-03,1.15E-03,1.57E-03,1.15E-03,1.47E-01,9.76E+00,4.82E-02,4.68E-02,1.47E-03,4.66E-02,2.28E-01,8.84E+00,2.72E-03
2.40E-03,1.05E-03,1.35E-03,2.67E-03,1.09E-03,1.58E-03,1.09E-03,1.40E-01,9.91E+00,4.86E-02,4.71E-02,1.49E-03,4.69E-02,2.28E-01,9.10E+00,2.67E-03
2.36E-03,1.02E-03,1.33E-03,2.71E-03,1.26E-03,1.44E-03,1.27E-03,1.46E-01,1.00E+01,4.86E-02,4.72E-02,1.34E-03,4.71E-02,2.29E-01,9.26E+00,0.00E+00
2.32E-03,1.01E-03,1.30E-03,2.63E-03,1.19E-03,1.44E-03,1.19E-03,1.45E-01,1.00E+01,4.85E-02,4.72E-02,1.34E-03,4.70E-02,2.37E-01,9.24E+00,2.63E-03
2.27E-03,9.94E-04,1.28E-03,2.55E-03,1.05E-03,1.50E-03,1.05E-03,1.44E-01,1.01E+01,4.88E-02,4.73E-02,1.44E-03,4.72E-02,2.38E-01,9.21E+00,2.55E-03
2.23E-03,9.80E-04,1.25E-03,2.52E-03,1.09E-03,1.43E-03,1.09E-03,1.28E-01,9.90E+00,4.88E-02,4.74E-02,1.36E-03,4.72E-02,2.32E-01,9.05E+00,2.52E-03
2.21E-03,9.67E-04,1.25E-03,2.46E-03,1.05E-03,1.41E-03,1.05E-03,1.36E-01,1.02E+01,4.91E-02,4.77E-02,1.37E-03,4.75E-02,2.42E-01,9.61E+00,2.46E-03
2.18E-03,9.63E-04,1.22E-03,2.49E-03,1.15E-03,1.34E-03,1.15E-03,1.38E-01,1.01E+01,4.89E-02,4.76E-02,1.29E-03,4.75E-02,2.40E-01,9.48E+00,0.00E+00
2.15E-03,9.38E-04,1.21E-03,2.41E-03,1.07E-03,1.34E-03,1.07E-03,1.38E-01,1.03E+01,4.91E-02,4.78E-02,1.31E-03,4.76E-02,2.59E-01,9.67E+00,2.41E-03
2.11E-03,9.23E-04,1.19E-03,2.36E-03,1.00E-03,1.35E-03,1.00E-03,1.32E-01,1.04E+01,4.92E-02,4.79E-02,1.34E-03,4.77E-02,2.68E-01,9.75E+00,2.36E-03
2.11E-03,9.33E-04,1.17E-03,2.39E-03,1.00E-03,1.39E-03,1.00E-03,1.35E-01,1.04E+01,4.94E-02,4.80E-02,1.39E-03,4.78E-02,2.70E-01,9.74E+00,0.00E+00
2.07E-03,9.05E-04,1.16E-03,2.40E-03,1.13E-03,1.27E-03,1.13E-03,1.49E-01,1.05E+01,4.93E-02,4.80E-02,1.26E-03,4.79E-02,2.72E-01,9.82E+00,0.00E+00
2.05E-03,9.04E-04,1.15E-03,2.29E-03,9.70E-04,1.32E-03,9.71E-04,1.45E-01,1.05E+01,4.95E-02,4.82E-02,1.33E-03,4.80E-02,2.78E-01,9.87E+00,2.29E-03
2.03E-03,8.92E-04,1.13E-03,2.29E-03,9.58E-04,1.33E-03,9.59E-04,1.36E-01,1.05E+01,4.94E-02,4.81E-02,1.33E-03,4.79E-02,2.75E-01,9.87E+00,2.29E-03
2.02E-03,8.98E-04,1.12E-03,2.26E-03,9.74E-04,1.29E-03,9.75E-04,1.37E-01,1.05E+01,4.94E-02,4.81E-02,1.29E-03,4.79E-02,2.72E-01,9.95E+00,2.26E-03
1.99E-03,8.63E-04,1.12E-03,2.32E-03,9.98E-04,1.32E-03,9.99E-04,1.41E-01,1.06E+01,4.97E-02,4.84E-02,1.35E-03,4.82E-02,2.81E-01,1.01E+01,0.00E+00
1.96E-03,8.63E-04,1.10E-03,2.21E-03,9.58E-04,1.25E-03,9.58E-04,1.41E-01,1.07E+01,4.96E-02,4.84E-02,1.27E-03,4.82E-02,2.87E-01,1.01E+01,2.21E-03
1.94E-03,8.48E-04,1.09E-03,2.40E-03,1.07E-03,1.33E-03,1.07E-03,1.41E-01,1.07E+01,5.02E-02,4.88E-02,1.38E-03,4.86E-02,2.86E-01,1.02E+01,0.00E+00
1.93E-03,8.48E-04,1.09E-03,2.20E-03,1.02E-03,1.19E-03,1.02E-03,1.40E-01,1.08E+01,4.96E-02,4.84E-02,1.21E-03,4.82E-02,2.88E-01,1.02E+01,2.20E-03
1.91E-03,8.34E-04,1.08E-03,2.16E-03,9.36E-04,1.22E-03,9.37E-04,1.40E-01,1.09E+01,4.98E-02,4.85E-02,1.27E-03,4.83E-02,2.88E-01,1.02E+01,2.16E-03
1.91E-03,8.41E-04,1.07E-03,2.14E-03,9.50E-04,1.19E-03,9.51E-04,1.41E-01,1.09E+01,4.97E-02,4.85E-02,1.22E-03,4.83E-02,2.91E-01,1.03E+01,2.14E-03
1.89E-03,8.34E-04,1.06E-03,2.12E-03,9.33E-04,1.19E-03,9.33E-04,1.41E-01,1.09E+01,4.98E-02,4.85E-02,1.23E-03,4.84E-02,2.88E-01,1.03E+01,2.12E-03
1.88E-03,8.31E-04,1.05E-03,2.12E-03,9.29E-04,1.19E-03,9.30E-04,1.39E-01,1.08E+01,4.98E-02,4.85E-02,1.24E-03,4.83E-02,2.89E-01,1.03E+01,0.00E+00
1.85E-03,8.10E-04,1.04E-03,2.13E-03,9.28E-04,1.20E-03,9.29E-04,1.38E-01,1.10E+01,5.01E-02,4.88E-02,1.28E-03,4.86E-02,3.04E-01,1.03E+01,0.00E+00
1.86E-03,8.28E-04,1.04E-03,2.18E-03,1.05E-03,1.12E-03,1.05E-03,1.38E-01,1.10E+01,5.00E-02,4.88E-02,1.16E-03,4.86E-02,3.07E-01,1.04E+01,0.00E+00
1.84E-03,8.05E-04,1.03E-03,2.08E-03,9.24E-04,1.16E-03,9.25E-04,1.36E-01,1.10E+01,4.99E-02,4.87E-02,1.21E-03,4.85E-02,2.99E-01,1.04E+01,2.08E-03
1.84E-03,8.19E-04,1.02E-03,2.15E-03,9.39E-04,1.21E-03,9.40E-04,1.40E-01,1.10E+01,5.03E-02,4.90E-02,1.29E-03,4.88E-02,3.08E-01,1.04E+01,0.00E+00
1.82E-03,8.01E-04,1.02E-03,2.07E-03,9.39E-04,1.13E-03,9.40E-04,1.41E-01,1.10E+01,5.00E-02,4.88E-02,1.19E-03,4.86E-02,2.96E-01,1.05E+01,2.07E-03
1.82E-03,8.04E-04,1.01E-03,2.16E-03,9.61E-04,1.20E-03,9.61E-04,1.38E-01,1.11E+01,5.04E-02,4.91E-02,1.28E-03,4.89E-02,3.13E-01,1.05E+01,0.00E+00
1.82E-03,8.05E-04,1.01E-03,2.17E-03,9.55E-04,1.21E-03,9.56E-04,1.45E-01,1.10E+01,5.07E-02,4.94E-02,1.31E-03,4.92E-02,3.11E-01,1.05E+01,0.00E+00
1.80E-03,7.93E-04,1.00E-03,2.11E-03,1.02E-03,1.09E-03,1.02E-03,1.43E-01,1.11E+01,5.02E-02,4.91E-02,1.15E-03,4.89E-02,3.08E-01,1.05E+01,0.00E+00
1.79E-03,7.87E-04,1.00E-03,2.13E-03,1.05E-03,1.07E-03,1.05E-03,1.37E-01,1.11E+01,5.02E-02,4.91E-02,1.12E-03,4.89E-02,3.09E-01,1.05E+01,0.00E+00
1.80E-03,7.97E-04,9.99E-04,2.08E-03,9.05E-04,1.17E-03,9.06E-04,1.42E-01,1.11E+01,5.06E-02,4.93E-02,1.25E-03,4.91E-02,3.06E-01,1.05E+01,0.00E+00
1.79E-03,7.88E-04,9.98E-04,2.02E-03,9.19E-04,1.11E-03,9.20E-04,1.41E-01,1.11E+01,5.03E-02,4.92E-02,1.17E-03,4.90E-02,3.10E-01,1.06E+01,2.02E-03
1.78E-03,7.96E-04,9.86E-04,2.02E-03,8.99E-04,1.12E-03,9.00E-04,1.46E-01,1.11E+01,5.05E-02,4.93E-02,1.19E-03,4.91E-02,3.14E-01,1.06E+01,2.02E-03
1.77E-03,7.89E-04,9.85E-04,2.01E-03,8.84E-04,1.13E-03,8.85E-04,1.39E-01,1.12E+01,5.05E-02,4.93E-02,1.20E-03,4.91E-02,3.05E-01,1.06E+01,2.01E-03
1.77E-03,7.85E-04,9.88E-04,2.14E-03,9.69E-04,1.17E-03,9.70E-04,1.43E-01,1.11E+01,5.08E-02,4.95E-02,1.28E-03,4.93E-02,3.12E-01,1.05E+01,0.00E+00
1.76E-03,7.74E-04,9.85E-04,2.00E-03,8.92E-04,1.11E-03,8.93E-04,1.42E-01,1.12E+01,5.06E-02,4.94E-02,1.17E-03,4.92E-02,3.21E-01,1.06E+01,2.00E-03
1.77E-03,7.79E-04,9.86E-04,2.13E-03,1.09E-03,1.04E-03,1.09E-03,1.40E-01,1.12E+01,5.04E-02,4.93E-02,1.09E-03,4.91E-02,3.18E-01,1.05E+01,0.00E+00
1.75E-03,7.69E-04,9.82E-04,2.01E-03,9.34E-04,1.08E-03,9.35E-04,1.45E-01,1.12E+01,5.06E-02,4.95E-02,1.15E-03,4.93E-02,3.23E-01,1.06E+01,0.00E+00
1.74E-03,7.66E-04,9.79E-04,1.99E-03,8.81E-04,1.10E-03,8.82E-04,1.43E-01,1.12E+01,5.07E-02,4.96E-02,1.19E-03,4.94E-02,3.21E-01,1.07E+01,1.99E-03
1.75E-03,7.73E-04,9.76E-04,2.03E-03,8.91E-04,1.13E-03,8.92E-04,1.49E-01,1.12E+01,5.11E-02,4.99E-02,1.23E-03,4.97E-02,3.20E-01,1.06E+01,0.00E+00
1.73E-03,7.60E-04,9.75E-04,2.01E-03,9.19E-04,1.09E-03,9.20E-04,1.45E-01,1.12E+01,5.09E-02,4.97E-02,1.18E-03,4.95E-02,3.16E-01,1.06E+01,0.00E+00
1.74E-03,7.68E-04,9.70E-04,1.98E-03,8.76E-04,1.10E-03,8.77E-04,1.44E-01,1.12E+01,5.10E-02,4.98E-02,1.19E-03,4.96E-02,3.23E-01,1.07E+01,1.98E-03
1.73E-03,7.63E-04,9.69E-04,1.97E-03,8.73E-04,1.10E-03,8.74E-04,1.42E-01,1.12E+01,5.09E-02,4.98E-02,1.18E-03,4.96E-02,3.18E-01,1.06E+01,1.97E-03
1.74E-03,7.66E-04,9.70E-04,1.97E-03,8.89E-04,1.08E-03,8.90E-04,1.45E-01,1.12E+01,5.10E-02,4.98E-02,1.16E-03,4.96E-02,3.23E-01,1.07E+01,1.97E-03
1.73E-03,7.60E-04,9.67E-04,2.03E-03,9.06E-04,1.12E-03,9.07E-04,1.47E-01,1.12E+01,5.13E-02,5.01E-02,1.22E-03,4.99E-02,3.21E-01,1.07E+01,0.00E+00
1.72E-03,7.56E-04,9.66E-04,2.26E-03,1.22E-03,1.03E-03,1.23E-03,1.37E-01,1.10E+01,5.06E-02,4.96E-02,1.05E-03,4.94E-02,2.71E-01,9.74E+00,0.00E+00
1.72E-03,7.57E-04,9.62E-04,1.97E-03,8.69E-04,1.10E-03,8.69E-04,1.45E-01,1.13E+01,5.13E-02,5.01E-02,1.19E-03,4.99E-02,3.23E-01,1.07E+01,1.97E-03
1.70E-03,7.47E-04,9.54E-04,2.01E-03,9.48E-04,1.06E-03,9.49E-04,1.44E-01,1.13E+01,5.14E-02,5.03E-02,1.14E-03,5.01E-02,3.20E-01,1.06E+01,0.00E+00
1.72E-03,7.54E-04,9.65E-04,2.00E-03,9.63E-04,1.04E-03,9.64E-04,1.48E-01,1.13E+01,5.12E-02,5.01E-02,1.11E-03,4.99E-02,3.27E-01,1.06E+01,0.00E+00
1.71E-03,7.47E-04,9.64E-04,1.96E-03,8.77E-04,1.08E-03,8.77E-04,1.47E-01,1.13E+01,5.13E-02,5.01E-02,1.19E-03,5.00E-02,3.25E-01,1.05E+01,1.96E-03
1.70E-03,7.47E-04,9.57E-04,1.95E-03,9.06E-04,1.05E-03,9.06E-04,1.43E-01,1.13E+01,5.11E-02,5.00E-02,1.14E-03,4.98E-02,3.30E-01,1.05E+01,1.95E-03
1.70E-03,7.49E-04,9.53E-04,1.95E-03,8.73E-04,1.08E-03,8.73E-04,1.48E-01,1.13E+01,5.15E-02,5.03E-02,1.17E-03,5.01E-02,3.21E-01,1.07E+01,1.95E-03
1.70E-03,7.41E-04,9.56E-04,1.94E-03,8.67E-04,1.07E-03,8.68E-04,1.49E-01,1.13E+01,5.14E-02,5.02E-02,1.16E-03,5.01E-02,3.27E-01,1.07E+01,1.94E-03
1.69E-03,7.37E-04,9.49E-04,2.08E-03,1.08E-03,9.96E-04,1.09E-03,1.43E-01,1.14E+01,5.12E-02,5.02E-02,1.06E-03,5.00E-02,3.28E-01,1.06E+01,0.00E+00
1.69E-03,7.48E-04,9.45E-04,1.94E-03,8.67E-04,1.07E-03,8.68E-04,1.49E-01,1.13E+01,5.15E-02,5.04E-02,1.16E-03,5.02E-02,3.23E-01,1.07E+01,1.94E-03
1.69E-03,7.40E-04,9.51E-04,1.94E-03,8.75E-04,1.06E-03,8.76E-04,1.49E-01,1.13E+01,5.16E-02,5.05E-02,1.15E-03,5.03E-02,3.21E-01,1.07E+01,0.00E+00
1.69E-03,7.39E-04,9.49E-04,1.93E-03,8.62E-04,1.07E-03,8.63E-04,1.49E-01,1.13E+01,5.16E-02,5.04E-02,1.16E-03,5.02E-02,3.21E-01,1.07E+01,1.93E-03
1.68E-03,7.33E-04,9.49E-04,1.92E-03,8.61E-04,1.06E-03,8.61E-04,1.49E-01,1.14E+01,5.17E-02,5.05E-02,1.16E-03,5.03E-02,3.23E-01,1.07E+01,1.92E-03
1.68E-03,7.35E-04,9.42E-04,1.94E-03,9.13E-04,1.03E-03,9.13E-04,1.50E-01,1.14E+01,5.14E-02,5.03E-02,1.11E-03,5.01E-02,3.29E-01,1.05E+01,0.00E+00
1.68E-03,7.40E-04,9.38E-04,1.92E-03,8.64E-04,1.05E-03,8.65E-04,1.48E-01,1.13E+01,5.16E-02,5.05E-02,1.16E-03,5.03E-02,3.17E-01,1.08E+01,1.92E-03
1.69E-03,7.50E-04,9.38E-04,1.95E-03,9.29E-04,1.02E-03,9.30E-04,1.51E-01,1.14E+01,5.14E-02,5.03E-02,1.11E-03,5.01E-02,3.36E-01,1.05E+01,0.00E+00
1.66E-03,7.23E-04,9.34E-04,2.00E-03,9.93E-04,1.01E-03,9.94E-04,1.53E-01,1.14E+01,5.18E-02,5.07E-02,1.08E-03,5.05E-02,3.22E-01,1.07E+01,0.00E+00
1.67E-03,7.29E-04,9.38E-04,1.94E-03,9.25E-04,1.02E-03,9.26E-04,1.51E-01,1.13E+01,5.17E-02,5.06E-02,1.10E-03,5.04E-02,3.26E-01,1.08E+01,0.00E+00
1.67E-03,7.34E-04,9.41E-04,1.92E-03,8.90E-04,1.03E-03,8.91E-04,1.47E-01,1.14E+01,5.18E-02,5.07E-02,1.12E-03,5.05E-02,3.26E-01,1.08E+01,0.00E+00
1.66E-03,7.25E-04,9.36E-04,1.92E-03,8.57E-04,1.06E-03,8.58E-04,1.53E-01,1.14E+01,5.19E-02,5.07E-02,1.16E-03,5.05E-02,3.30E-01,1.08E+01,1.92E-03
1.67E-03,7.37E-04,9.37E-04,1.95E-03,9.38E-04,1.01E-03,9.39E-04,1.51E-01,1.14E+01,5.18E-02,5.07E-02,1.10E-03,5.05E-02,3.26E-01,1.07E+01,0.00E+00
1.66E-03,7.22E-04,9.33E-04,1.93E-03,9.08E-04,1.02E-03,9.09E-04,1.48E-01,1.14E+01,5.18E-02,5.07E-02,1.11E-03,5.05E-02,3.19E-01,1.08E+01,0.00E+00
1.65E-03,7.20E-04,9.30E-04,1.95E-03,8.69E-04,1.08E-03,8.70E-04,1.49E-01,1.14E+01,5.22E-02,5.09E-02,1.20E-03,5.07E-02,3.26E-01,1.08E+01,0.00E+00
1.66E-03,7.26E-04,9.34E-04,1.95E-03,8.69E-04,1.09E-03,8.69E-04,1.49E-01,1.14E+01,5.23E-02,5.11E-02,1.20E-03,5.09E-02,3.28E-01,1.08E+01,0.00E+00
1.66E-03,7.27E-04,9.34E-04,1.90E-03,8.68E-04,1.03E-03,8.69E-04,1.46E-01,1.15E+01,5.19E-02,5.08E-02,1.14E-03,5.06E-02,3.41E-01,1.06E+01,1.90E-03
1.66E-03,7.28E-04,9.28E-04,1.92E-03,8.62E-04,1.06E-03,8.62E-04,1.51E-01,1.14E+01,5.22E-02,5.10E-02,1.19E-03,5.08E-02,3.26E-01,1.08E+01,0.00E+00
1.65E-03,7.16E-04,9.30E-04,1.95E-03,8.67E-04,1.08E-03,8.68E-04,1.47E-01,1.14E+01,5.22E-02,5.10E-02,1.22E-03,5.08E-02,3.34E-01,1.07E+01,0.00E+00
1.65E-03,7.26E-04,9.25E-04,1.92E-03,9.01E-04,1.01E-03,9.02E-04,1.51E-01,1.14E+01,5.21E-02,5.10E-02,1.11E-03,5.08E-02,3.28E-01,1.08E+01,0.00E+00
1.65E-03,7.17E-04,9.28E-04,1.92E-03,8.96E-04,1.02E-03,8.97E-04,1.49E-01,1.14E+01,5.22E-02,5.10E-02,1.14E-03,5.08E-02,3.22E-01,1.08E+01,0.00E+00
1.64E-03,7.12E-04,9.25E-04,1.89E-03,8.72E-04,1.02E-03,8.73E-04,1.47E-01,1.14E+01,5.21E-02,5.10E-02,1.13E-03,5.08E-02,3.22E-01,1.08E+01,1.89E-03
1.64E-03,7.09E-04,9.29E-04,1.90E-03,8.93E-04,1.01E-03,8.93E-04,1.51E-01,1.14E+01,5.21E-02,5.09E-02,1.11E-03,5.07E-02,3.20E-01,1.08E+01,0.00E+00
1.64E-03,7.16E-04,9.22E-04,1.91E-03,8.46E-04,1.06E-03,8.46E-04,1.48E-01,1.14E+01,5.23E-02,5.11E-02,1.20E-03,5.09E-02,3.30E-01,1.06E+01,0.00E+00
