# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
1.761191839076228088e-02,1.761191839076228088e-02,0.000000000000000000e+00,1.896975510005307047e-03,1.896975510005307047e-03,0.000000000000000000e+00,1.897219063830347810e-03,5.608852711161242677e-02,1.752671711652965758e+00,1.195181016505692017e-03,1.195181016505692017e-03,0.000000000000000000e+00,1.195207571038682482e-03,4.998139362785212342e-02,1.195031042563822199e+00,1.896975510005307047e-03
1.074100190809521753e-03,1.074100190809521753e-03,0.000000000000000000e+00,1.588596070567811205e-03,1.588596070567811205e-03,0.000000000000000000e+00,1.588757785716764324e-03,5.658097201863941661e-02,1.718292855485650472e+00,1.066722412974837036e-03,1.066722412974837036e-03,0.000000000000000000e+00,1.066746967912160070e-03,5.253874340419660560e-02,1.188525328800642766e+00,1.588596070567811205e-03
9.540372994958120755e-04,9.540372994958120755e-04,0.000000000000000000e+00,1.161904459184457013e-03,1.161904459184457013e-03,0.000000000000000000e+00,1.162035866326249734e-03,5.641294549454785312e-02,1.688776456055074426e+00,7.154231663608633151e-04,7.154231663608633151e-04,0.000000000000000000e+00,7.154334544194536913e-04,5.005799808971990450e-02,1.229434136946838674e+00,1.161904459184457013e-03
7.834017826601840338e-04,7.834017826601840338e-04,0.000000000000000000e+00,9.957989860263224361e-04,9.957989860263224361e-04,0.000000000000000000e+00,9.959002869518729373e-04,5.418949045856805147e-02,1.768211191823957362e+00,6.276727722808404233e-04,6.276727722808404233e-04,0.000000000000000000e+00,6.276806727758388717e-04,5.043568952946015510e-02,1.235482664420306076e+00,9.957989860263224361e-04
7.473600399726877848e-04,7.473600399726877848e-04,0.000000000000000000e+00,1.078188232823445091e-03,1.078188232823445091e-03,0.000000000000000000e+00,1.078283945375938099e-03,5.417106291687187603e-02,1.778691921972222145e+00,7.109222570159138763e-04,7.109222570159138763e-04,0.000000000000000000e+00,7.109179218347289227e-04,5.376229338159278781e-02,1.112497336635170475e+00,0.000000000000000000e+00
6.928037878907994515e-04,6.928037878907994515e-04,0.000000000000000000e+00,1.068176013913693006e-03,1.068176013913693006e-03,0.000000000000000000e+00,1.068268364271678615e-03,5.445153778169952580e-02,1.711079836178123648e+00,7.117306423090587414e-04,7.117306423090587414e-04,0.000000000000000000e+00,7.117250914500426002e-04,5.364848099518239322e-02,1.195781271677150537e+00,0.000000000000000000e+00
6.211888670069573874e-04,6.211888670069573874e-04,0.000000000000000000e+00,7.446155137759411825e-04,7.446155137759411825e-04,0.000000000000000000e+00,7.446852142237876107e-04,5.079146270345152869e-02,1.588430541542494190e+00,4.459565762285032917e-04,4.459565762285032917e-04,0.000000000000000000e+00,4.459617405249103076e-04,5.188842793244237417e-02,1.069472892031808620e+00,7.446155137759411825e-04
5.595626682522978918e-04,5.595626682522978918e-04,0.000000000000000000e+00,6.808553545043752493e-04,6.808553545043752493e-04,0.000000000000000000e+00,6.809192719507398042e-04,5.833252713083014046e-02,1.661279438309156697e+00,4.105386626317248321e-04,4.105386626317248321e-04,0.000000000000000000e+00,4.105423142338532534e-04,5.058219086053206831e-02,1.069357511378803416e+00,6.808553545043752493e-04
5.534126828817844106e-04,5.534126828817844106e-04,0.000000000000000000e+00,6.860968516977865956e-04,6.860968516977865956e-04,0.000000000000000000e+00,6.861564040801880872e-04,5.569395578625445375e-02,1.601024888523987277e+00,4.399956875350051022e-04,4.399956875350051022e-04,0.000000000000000000e+00,4.400043352931616407e-04,5.379723282765789399e-02,1.048682613534947405e+00,0.000000000000000000e+00
4.895782082054752748e-04,4.895782082054752748e-04,0.000000000000000000e+00,6.011066288342662486e-04,6.011066288342662486e-04,0.000000000000000000e+00,6.011653024403762046e-04,5.974524145860782981e-02,1.614858077456028607e+00,3.714114187490627538e-04,3.714114187490627538e-04,0.000000000000000000e+00,3.714135131277968341e-04,5.655196850083191173e-02,1.155400880299021660e+00,6.011066288342662486e-04
4.225655987071111406e-04,4.225655987071111406e-04,0.000000000000000000e+00,7.507625395812774242e-04,7.507625395812774242e-04,0.000000000000000000e+00,7.508206605685559341e-04,5.573965372116939515e-02,1.620235709186544470e+00,5.228620857336334317e-04,5.228620857336334317e-04,0.000000000000000000e+00,5.228597374458865583e-04,5.629792091108014318e-02,1.234463773204515613e+00,0.000000000000000000e+00
4.058766345669356746e-04,4.058766345669356746e-04,0.000000000000000000e+00,5.631874684897613488e-04,5.631874684897613488e-04,0.000000000000000000e+00,5.632284316710463833e-04,5.729141227933301495e-02,1.493921512149971598e+00,3.900685796331425695e-04,3.900685796331425695e-04,0.000000000000000000e+00,3.900713370777147255e-04,4.086936457926170635e-02,9.837398717907492873e-01,5.631874684897613488e-04
3.656606335851470403e-04,3.656606335851470403e-04,0.000000000000000000e+00,7.057544290358829442e-04,7.057544290358829442e-04,0.000000000000000000e+00,7.057988388332657546e-04,6.102924755143797342e-02,1.555625174370651953e+00,5.296613116142485748e-04,5.296613116142485748e-04,0.000000000000000000e+00,5.296625929313187068e-04,4.544040737908625061e-02,1.231953572929525009e+00,0.000000000000000000e+00
3.381708976082742715e-04,3.381708976082742715e-04,0.000000000000000000e+00,4.215242441291810072e-04,4.215242441291810072e-04,0.000000000000000000e+00,4.215658868890165387e-04,6.936632834931140412e-02,1.517482734535588129e+00,2.777052904235568381e-04,2.777052904235568381e-04,0.000000000000000000e+00,2.777141521692730363e-04,4.069964244457471153e-02,1.267193606656657368e+00,4.215242441291810072e-04
