# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.862019758277691672e-02,9.754776885606684933e-02,1.072428512456331546e-03,1.017078801634765765e-02,9.262487371747811157e-03,9.083006581700858294e-04,9.263524358540440803e-03,5.289219825842096656e-02,2.941160180140286684e+00,2.239838145272452646e-02,2.153247386955887965e-02,8.659077836996345546e-04,2.153137188099161353e-02,4.888337839611681807e-02,1.701914306817343459e+00,1.017078801634765765e-02
2.945860931891303939e-03,2.132804067359563537e-03,8.130568640866685801e-04,3.371258902858706007e-03,2.583356786219935270e-03,7.879021240879655356e-04,2.583564818539343510e-03,6.641880604834829449e-02,4.809771185799036175e+00,1.664137454282979545e-02,1.582058871809377543e-02,8.207860061130585168e-04,1.581931366589721388e-02,5.143471203935813529e-02,2.192477722041076049e+00,3.371258902858706007e-03
1.921452956362082552e-03,1.181486883031035917e-03,7.399660725763595234e-04,2.296050430260716813e-03,1.583695827220152601e-03,7.123546054370106422e-04,1.583777232644586726e-03,6.493577053732371707e-02,5.102436002460308373e+00,1.624197129038347162e-02,1.550071550663835625e-02,7.412559731042146294e-04,1.549936537044643153e-02,5.845453362570033479e-02,4.123911527683958411e+00,2.296050430260716813e-03
1.578679656225350685e-03,9.115069944450527499e-04,6.671726585486891610e-04,1.911345074490998931e-03,1.254571259316493090e-03,6.567738091689534485e-04,1.254619954743809622e-03,1.227511654405919056e-01,9.671083698252914473e+00,1.635901775861449761e-02,1.568111028514393782e-02,6.779076595140330662e-04,1.567970364496944907e-02,9.993016195616630237e-02,7.863748207004391588e+00,1.911345074490998931e-03
1.430653512370747872e-03,8.042731865800229049e-04,6.263803263132006931e-04,1.819290545268265101e-03,1.187274217030905715e-03,6.320163266782257046e-04,1.187344584326651201e-03,1.503649973895765657e-01,1.193108123700949363e+01,1.644172811318770494e-02,1.579311218852951296e-02,6.486161083684455902e-04,1.579168240100158396e-02,1.306600719542739542e-01,9.626186559456982650e+00,1.819290545268265101e-03
1.349070377940772818e-03,7.423210670706194541e-04,6.067493099219566565e-04,1.894095549932754870e-03,1.274244698935136661e-03,6.198508581580845474e-04,1.274338664965828571e-03,1.378496276158429901e-01,1.107889432131196372e+01,1.648182818373342823e-02,1.584842685440099319e-02,6.334015313400356796e-04,1.584699216364496635e-02,1.204321963190243816e-01,8.959739334546611644e+00,0.000000000000000000e+00
1.281552463432432225e-03,6.902115026682719518e-04,5.913409600288241103e-04,1.673334330599385387e-03,1.071786059857538333e-03,6.015482714925412654e-04,1.071860121419377591e-03,1.718177587167522835e-01,1.295680418176925741e+01,1.634697215302497592e-02,1.573184321186002141e-02,6.151291004378143818e-04,1.573040534978099522e-02,1.545222509282582202e-01,1.079836733361298684e+01,1.673334330599385387e-03
1.201235235172095923e-03,6.285686579352105750e-04,5.726665772175343989e-04,1.448141507497648734e-03,8.669939014084992058e-04,5.811476049919812739e-04,8.670292432600788107e-04,2.070407258447192478e-01,1.439543590103858151e+01,1.619386402222048812e-02,1.559954808405030618e-02,5.943161347745387580e-04,1.559811500087015905e-02,1.810249044688785058e-01,1.298635681714222301e+01,1.448141507497648734e-03
1.118623276155669959e-03,5.659758521978028051e-04,5.526474229903196060e-04,1.322371188998370259e-03,7.613935000942243523e-04,5.609776883844345714e-04,7.614251547737705501e-04,2.193457851882515408e-01,1.503260704703279771e+01,1.602487908853100079e-02,1.545149088083945174e-02,5.733883723062522132e-04,1.545006676417066613e-02,1.852857568712361069e-01,1.298975880137004424e+01,1.322371188998370259e-03
1.054794238177450159e-03,5.238465212816198783e-04,5.309477160250374765e-04,1.213581950218039704e-03,6.737113026680336628e-04,5.398706481563360230e-04,6.737374238329612306e-04,2.245973172044126998e-01,1.553585107944672927e+01,1.590771192438185377e-02,1.535460607617561077e-02,5.531060675901796958e-04,1.535318398610678939e-02,1.992671055674167246e-01,1.385806695926294196e+01,1.213581950218039704e-03
9.769975706845760496e-04,4.687952895379721976e-04,5.082022811272527947e-04,1.152884812437973520e-03,6.332044428586775225e-04,5.196803692183854777e-04,6.332404787782722113e-04,2.250579660439412655e-01,1.543233881412015762e+01,1.578215304943870329e-02,1.525112936922343176e-02,5.310238636799259051e-04,1.524971545412108324e-02,1.984748684933593244e-01,1.420892368278873619e+01,1.152884812437973520e-03
9.083594026417406630e-04,4.219152893188522161e-04,4.864441140001717631e-04,1.035746312164331859e-03,5.402078621421149826e-04,4.955384522598627094e-04,5.402311791490905938e-04,2.593834902459726810e-01,1.756228033850493375e+01,1.571344226138972691e-02,1.520413914481708387e-02,5.093033056247405887e-04,1.520272404445703086e-02,2.368286113290709038e-01,1.548458079302508850e+01,1.035746312164331859e-03
8.469491975197439943e-04,3.832090393150289578e-04,4.637401576725638363e-04,9.793089308899767791e-04,5.021270612598440928e-04,4.771818674069234394e-04,5.021556569997043208e-04,2.521887620688487708e-01,1.701280366386345122e+01,1.559022149166390883e-02,1.509994773221455706e-02,4.902739402123841312e-04,1.509853948499465144e-02,2.356253439850179154e-01,1.537770468644157518e+01,9.793089308899767791e-04
7.908834356017673678e-04,3.470057118802481115e-04,4.438777235570361373e-04,9.055929163762826755e-04,4.479263757636386500e-04,4.576665405260254877e-04,4.479496073412531391e-04,2.745851251595073927e-01,1.791766840622585732e+01,1.549766929589314196e-02,1.502629614835221915e-02,4.713733065067810305e-04,1.502489164941260211e-02,2.407961293799433522e-01,1.585074529166740831e+01,9.055929163762826755e-04
7.479402949606895517e-04,3.222179546820042083e-04,4.257223399400437394e-04,8.858419403420864828e-04,4.429854510355711030e-04,4.428564903603743113e-04,4.430163594264262998e-04,2.485028739677702381e-01,1.583762617848697118e+01,1.542090768972509927e-02,1.496579816285176917e-02,4.551096965228738109e-04,1.496440041619028632e-02,2.358148369157827273e-01,1.567974576760025229e+01,8.858419403420864828e-04
