# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.75E-02,9.75E-02,0.00E+00,9.26E-03,9.26E-03,8.69E-04,9.26E-03,5.29E-02,2.71E+00,2.15E-02,2.15E-02,6.88E-04,2.15E-02,4.89E-02,1.90E+00,9.26E-03
2.13E-03,2.13E-03,0.00E+00,2.58E-03,2.58E-03,8.84E-04,2.58E-03,6.64E-02,4.42E+00,1.58E-02,1.58E-02,6.44E-04,1.58E-02,5.14E-02,3.52E+00,2.58E-03
1.18E-03,1.18E-03,0.00E+00,1.58E-03,1.58E-03,8.61E-04,1.58E-03,6.49E-02,6.39E+00,1.55E-02,1.55E-02,5.93E-04,1.55E-02,5.85E-02,5.07E+00,1.58E-03
9.12E-04,9.12E-04,0.00E+00,1.25E-03,1.25E-03,8.54E-04,1.25E-03,1.23E-01,8.00E+00,1.57E-02,1.57E-02,5.62E-04,1.57E-02,9.99E-02,6.38E+00,1.25E-03
8.04E-04,8.04E-04,0.00E+00,1.19E-03,1.19E-03,6.42E-04,1.19E-03,1.50E-01,8.58E+00,1.58E-02,1.58E-02,4.39E-04,1.58E-02,1.31E-01,7.09E+00,1.19E-03
7.42E-04,7.42E-04,0.00E+00,1.27E-03,1.27E-03,6.24E-04,1.27E-03,1.38E-01,8.63E+00,1.58E-02,1.58E-02,4.29E-04,1.58E-02,1.20E-01,7.03E+00,0.00E+00
6.90E-04,6.90E-04,0.00E+00,1.07E-03,1.07E-03,6.55E-04,1.07E-03,1.72E-01,8.95E+00,1.57E-02,1.57E-02,4.46E-04,1.57E-02,1.55E-01,7.47E+00,1.07E-03
6.29E-04,6.29E-04,0.00E+00,8.67E-04,8.67E-04,6.41E-04,8.67E-04,2.07E-01,9.70E+00,1.56E-02,1.56E-02,4.40E-04,1.56E-02,1.81E-01,8.25E+00,8.67E-04
5.66E-04,5.66E-04,0.00E+00,7.61E-04,7.61E-04,5.92E-04,7.61E-04,2.19E-01,1.01E+01,1.55E-02,1.55E-02,4.11E-04,1.55E-02,1.85E-01,8.38E+00,7.61E-04
5.24E-04,5.24E-04,0.00E+00,6.74E-04,6.74E-04,5.81E-04,6.74E-04,2.25E-01,1.06E+01,1.54E-02,1.54E-02,4.05E-04,1.54E-02,1.99E-01,8.91E+00,6.74E-04
4.69E-04,4.69E-04,0.00E+00,6.33E-04,6.33E-04,5.38E-04,6.33E-04,2.25E-01,1.05E+01,1.53E-02,1.53E-02,3.79E-04,1.52E-02,1.98E-01,8.70E+00,6.33E-04
4.22E-04,4.22E-04,0.00E+00,5.40E-04,5.40E-04,5.48E-04,5.40E-04,2.59E-01,1.12E+01,1.52E-02,1.52E-02,3.80E-04,1.52E-02,2.37E-01,9.39E+00,5.40E-04
3.83E-04,3.83E-04,0.00E+00,5.02E-04,5.02E-04,5.22E-04,5.02E-04,2.52E-01,1.12E+01,1.51E-02,1.51E-02,3.62E-04,1.51E-02,2.36E-01,9.53E+00,5.02E-04
3.47E-04,3.47E-04,0.00E+00,4.48E-04,4.48E-04,4.91E-04,4.48E-04,2.75E-01,1.16E+01,1.50E-02,1.50E-02,3.46E-04,1.50E-02,2.41E-01,9.82E+00,4.48E-04
3.22E-04,3.22E-04,0.00E+00,4.43E-04,4.43E-04,4.92E-04,4.43E-04,2.49E-01,1.16E+01,1.50E-02,1.50E-02,3.45E-04,1.50E-02,2.36E-01,9.59E+00,4.43E-04
2.98E-04,2.98E-04,0.00E+00,3.82E-04,3.82E-04,5.23E-04,3.82E-04,2.73E-01,1.21E+01,1.50E-02,1.50E-02,3.50E-04,1.50E-02,2.56E-01,1.04E+01,3.82E-04
2.79E-04,2.79E-04,0.00E+00,3.66E-04,3.66E-04,4.79E-04,3.66E-04,2.87E-01,1.24E+01,1.49E-02,1.49E-02,3.26E-04,1.49E-02,2.76E-01,1.05E+01,3.66E-04
2.69E-04,2.69E-04,0.00E+00,3.43E-04,3.43E-04,4.52E-04,3.43E-04,2.70E-01,1.23E+01,1.49E-02,1.49E-02,3.11E-04,1.49E-02,2.56E-01,1.01E+01,3.43E-04
2.51E-04,2.51E-04,0.00E+00,3.57E-04,3.57E-04,4.67E-04,3.57E-04,3.03E-01,1.28E+01,1.49E-02,1.49E-02,3.10E-04,1.49E-02,2.71E-01,1.06E+01,0.00E+00
2.43E-04,2.43E-04,0.00E+00,3.08E-04,3.08E-04,4.47E-04,3.08E-04,2.81E-01,1.24E+01,1.48E-02,1.48E-02,2.99E-04,1.48E-02,2.47E-01,1.01E+01,3.08E-04
2.35E-04,2.35E-04,0.00E+00,2.93E-04,2.93E-04,3.89E-04,2.93E-04,3.05E-01,1.29E+01,1.48E-02,1.48E-02,2.78E-04,1.48E-02,2.84E-01,1.06E+01,2.93E-04
2.20E-04,2.20E-04,0.00E+00,2.80E-04,2.80E-04,3.99E-04,2.80E-04,3.15E-01,1.30E+01,1.48E-02,1.48E-02,2.75E-04,1.48E-02,2.85E-01,1.07E+01,2.80E-04
2.17E-04,2.17E-04,0.00E+00,2.89E-04,2.89E-04,3.80E-04,2.89E-04,3.25E-01,1.32E+01,1.49E-02,1.49E-02,2.72E-04,1.49E-02,2.97E-01,1.10E+01,0.00E+00
2.03E-04,2.03E-04,0.00E+00,2.65E-04,2.65E-04,3.39E-04,2.65E-04,3.23E-01,1.34E+01,1.48E-02,1.48E-02,2.60E-04,1.48E-02,2.99E-01,1.10E+01,2.65E-04
2.08E-04,2.08E-04,0.00E+00,2.59E-04,2.59E-04,3.28E-04,2.59E-04,2.87E-01,1.32E+01,1.48E-02,1.48E-02,2.64E-04,1.48E-02,2.75E-01,1.08E+01,2.59E-04
1.93E-04,1.93E-04,0.00E+00,2.51E-04,2.51E-04,3.14E-04,2.51E-04,3.04E-01,1.36E+01,1.49E-02,1.49E-02,2.44E-04,1.49E-02,2.94E-01,1.11E+01,2.51E-04
1.86E-04,1.86E-04,0.00E+00,2.53E-04,2.53E-04,3.04E-04,2.53E-04,2.97E-01,1.37E+01,1.48E-02,1.48E-02,2.33E-04,1.48E-02,3.00E-01,1.12E+01,0.00E+00
1.86E-04,1.86E-04,0.00E+00,2.67E-04,2.67E-04,3.07E-04,2.67E-04,3.23E-01,1.41E+01,1.49E-02,1.49E-02,2.38E-04,1.49E-02,3.17E-01,1.15E+01,0.00E+00
1.79E-04,1.79E-04,0.00E+00,2.30E-04,2.30E-04,2.82E-04,2.30E-04,2.91E-01,1.38E+01,1.49E-02,1.49E-02,2.17E-04,1.49E-02,2.78E-01,1.11E+01,2.30E-04
1.72E-04,1.72E-04,0.00E+00,2.37E-04,2.37E-04,2.81E-04,2.37E-04,2.91E-01,1.38E+01,1.49E-02,1.49E-02,2.17E-04,1.49E-02,2.63E-01,1.10E+01,0.00E+00
1.73E-04,1.73E-04,0.00E+00,2.30E-04,2.30E-04,2.71E-04,2.30E-04,3.13E-01,1.43E+01,1.49E-02,1.49E-02,2.12E-04,1.49E-02,3.19E-01,1.16E+01,2.30E-04
1.67E-04,1.67E-04,0.00E+00,2.75E-04,2.75E-04,2.55E-04,2.75E-04,3.83E-01,1.49E+01,1.50E-02,1.50E-02,2.03E-04,1.50E-02,3.60E-01,1.21E+01,0.00E+00
