# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.791778719273737386e-02,9.746119855163727641e-02,4.565883005185203468e-04,9.436823346371215129e-03,8.968622992850013020e-03,4.682003614612363727e-04,8.969625220525606624e-03,5.289219825842096656e-02,2.718784552585294279e+00,2.163567963028758742e-02,2.126645839887077866e-02,3.692213685854970652e-04,2.126534890468907701e-02,4.888337839611681807e-02,1.902433515525808749e+00,9.436823346371215129e-03
2.238664924469900390e-03,2.062422471855360727e-03,1.762424519856335291e-04,2.703454257229283980e-03,2.484793091074578332e-03,2.186611642779704714e-04,2.484985155475425821e-03,6.651749809981505335e-02,4.502593483808503549e+00,1.596923250673566719e-02,1.579750051382017295e-02,1.717320463032155089e-04,1.579621702466454600e-02,5.029057695653992022e-02,3.613767815819480145e+00,2.703454257229283980e-03
1.263363325051614083e-03,1.148354427719010685e-03,1.150088968972069829e-04,1.683508154995266414e-03,1.530515226130817284e-03,1.529929261215286023e-04,1.530590643628380052e-03,6.279346523729593954e-02,6.574754903639680848e+00,1.564653994189378963e-02,1.552953835005011288e-02,1.170016207633037025e-04,1.552818104239844788e-02,6.219653952856861456e-02,5.209303076989999504e+00,1.683508154995266414e-03
9.818460618995967538e-04,8.916566848517717579e-04,9.018937817985560887e-05,1.368110019636030071e-03,1.238946331478285676e-03,1.291636833937243782e-04,1.238996800288660665e-03,1.267470014622416596e-01,8.162941288691484942e+00,1.582056709063212052e-02,1.572952398164335214e-02,9.104317361277720585e-05,1.572811051560093348e-02,1.117253943658499810e-01,6.604210547000367804e+00,1.368110019636030071e-03
8.740871888879523256e-04,7.940824221766385827e-04,8.000476624689094470e-05,1.294938111626949689e-03,1.172884746795586648e-03,1.220533604426900774e-04,1.172954911091469554e-03,1.488502297896293625e-01,8.720939095154884413e+00,1.590310007012999197e-02,1.582017755550961177e-02,8.292229463779052787e-05,1.581874174209539630e-02,1.355588455798883707e-01,7.222659705062508984e+00,1.294938111626949689e-03
8.078108132510951073e-04,7.330344537393179575e-04,7.477635942711670825e-05,1.365064270979177933e-03,1.247559365606681946e-03,1.175049045712743491e-04,1.247649799581339921e-03,1.534181352244424201e-01,8.757587559270451294e+00,1.592322938583343173e-02,1.584290829438024517e-02,8.032101548543565267e-05,1.584147469447263340e-02,1.287860317686626010e-01,7.181858468288376152e+00,0.000000000000000000e+00
7.485668821244233001e-04,6.787970131630031035e-04,6.976987035952643672e-05,1.147409007927986885e-03,1.040614509942575398e-03,1.067944978771381116e-04,1.040684628408828716e-03,1.898058647934334209e-01,9.130753772418664482e+00,1.578658574750992777e-02,1.571438014288708065e-02,7.220554061284099661e-05,1.571294249138187327e-02,1.568912437964150308e-01,7.664790679534596585e+00,1.147409007927986885e-03
6.793629902839459691e-04,6.152779134084839516e-04,6.408507746082831339e-05,9.330440050920485884e-04,8.374019549043464463e-04,9.564205301002302395e-05,8.374341148516672041e-04,2.196994037855627691e-01,1.002328709146949848e+01,1.563889339587352587e-02,1.557470187186243797e-02,6.419153671331246107e-05,1.557327133430854924e-02,1.919608957718632880e-01,8.494566824007417694e+00,9.330440050920485884e-04
6.098764957409622510e-04,5.510646688561153311e-04,5.881182687759025989e-05,8.186093761492335957e-04,7.315224168465532268e-04,8.708695886958767955e-05,7.315509105658918668e-04,2.280328372850856378e-01,1.038784778833196043e+01,1.548148684894011876e-02,1.542212382705100172e-02,5.936283186996131432e-05,1.542069928698698231e-02,1.959170571138633410e-01,8.665177721349390794e+00,8.186093761492335957e-04
5.612239264859879891e-04,5.077999212517170236e-04,5.342400504559918772e-05,7.228489909418082124e-04,6.439971967045003383e-04,7.885179757934002371e-05,6.440209707663163219e-04,2.423946733391049158e-01,1.082280182621597042e+01,1.537796472859193596e-02,1.532401476503116033e-02,5.395002637347324662e-05,1.532259412655384567e-02,2.224204428760560570e-01,9.188313395743538337e+00,7.228489909418082124e-04
5.004853081195603055e-04,4.520683690683886661e-04,4.841693921202641480e-05,6.744222860900678023e-04,6.013385505029295724e-04,7.308373553661069526e-05,6.013716104579281980e-04,2.392771441649241826e-01,1.075882582556787348e+01,1.526744838995330519e-02,1.521618207383661214e-02,5.126610646473306641e-05,1.521476850642899427e-02,2.068845833806301493e-01,8.901329182312116117e+00,6.744222860900678023e-04
4.490004026554239949e-04,4.050011644683260506e-04,4.399923791860349591e-05,5.769123731985769223e-04,5.114493009358060888e-04,6.546307317226560303e-05,5.114701934055244318e-04,2.654347749780449628e-01,1.142473387738264989e+01,1.521859821446685905e-02,1.517302019043652653e-02,4.557807453223288011e-05,1.517160629610550364e-02,2.556367406988234170e-01,9.727561240904107009e+00,5.769123731985769223e-04
4.069719932382948372e-04,3.671038344556167184e-04,3.986815944907651281e-05,5.348885527974556707e-04,4.744874019259383855e-04,6.040115014608696964e-05,4.745140592423901182e-04,2.692208209884958126e-01,1.155309227727394727e+01,1.511485738073621056e-02,1.507168548076781057e-02,4.317190865656942469e-05,1.507027857215781537e-02,2.353331526019403763e-01,9.748091819385081180e+00,5.348885527974556707e-04
3.680083742883072341e-04,3.315587818314212447e-04,3.644959266128043347e-05,4.764533632479715244e-04,4.212779464098044871e-04,5.517541684899437477e-05,4.212993391912923285e-04,2.727948921638164159e-01,1.208941630855933269e+01,1.504116197503987257e-02,1.500122579061946917e-02,3.993633781416825221e-05,1.499982183293376015e-02,2.403073322590530414e-01,1.011096476927595944e+01,4.764533632479715244e-04
3.409508311128871911e-04,3.073811199004573640e-04,3.356971069479186554e-05,4.646529922331591031e-04,4.124207844142802060e-04,5.223220928778501634e-05,4.124492453493664281e-04,2.676723289275310114e-01,1.192355965536934903e+01,1.498105783417785601e-02,1.494217674042351736e-02,3.888113900649711150e-05,1.494077749788009189e-02,2.529299398430752688e-01,9.869601229247560781e+00,4.646529922331591031e-04
3.153335370235312192e-04,2.842745347577952243e-04,3.105900166222822515e-05,4.068616438287010794e-04,3.590131617827518407e-04,4.784848119420025592e-05,3.590328132662259702e-04,2.857316990639072185e-01,1.246981200412938229e+01,1.499049430215099524e-02,1.495511766739498170e-02,3.537661307013052482e-05,1.495371794647800887e-02,2.767798730815700936e-01,1.050858965663902111e+01,4.068616438287010794e-04
2.947391018348385471e-04,2.657187027812432678e-04,2.902039875486499379e-05,3.914398881562871127e-04,3.472486778408647432e-04,4.419121010609420246e-05,3.472631004826614155e-04,2.892825896810883313e-01,1.280636314299135670e+01,1.497432697985693652e-02,1.494106069058725138e-02,3.326648341418506153e-05,1.493965917928566541e-02,2.864630927055614729e-01,1.075855308506833907e+01,3.914398881562871127e-04
2.837009730799454083e-04,2.564617094089663408e-04,2.723926379978385096e-05,3.633757980481725045e-04,3.211476455434754255e-04,4.222815290530787757e-05,3.211705198886688614e-04,2.908393207218185061e-01,1.271765109228963198e+01,1.491493421578720877e-02,1.488214825773179380e-02,3.278577177785214225e-05,1.488075084321211806e-02,2.671502701694854487e-01,1.038118314482271565e+01,3.633757980481725045e-04
2.659384860461168885e-04,2.402334990629822803e-04,2.570498702727897370e-05,3.740699367116331040e-04,3.341191822694363238e-04,3.995075339916515919e-05,3.341475050932166254e-04,3.054509648626191343e-01,1.320184829561567064e+01,1.494610316244362677e-02,1.491498395395715777e-02,3.111914890497295824e-05,1.491358218756216707e-02,2.964235220423209749e-01,1.092448073495178917e+01,0.000000000000000000e+00
2.570257100527901920e-04,2.327037042447200601e-04,2.432200599190416241e-05,3.306647363171491159e-04,2.920622590618367036e-04,3.860247793743347254e-05,2.920845282876832023e-04,2.805757261051783358e-01,1.274584343604455228e+01,1.487883900573800343e-02,1.484815477524227718e-02,3.068420803466028526e-05,1.484676112743199203e-02,2.673476537117726037e-01,1.036879287739010458e+01,3.306647363171491159e-04
