# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.930360912434518794e-02,9.730941035872711642e-02,1.994199071641496873e-03,9.833938338690333125e-03,8.965416399333330649e-03,8.685219284141942929e-04,8.966467508342779863e-03,5.265868804920813967e-02,2.696585448161658238e+00,2.184749985475266040e-02,2.115979402243525070e-02,6.877056393356804692e-04,2.115867178882029423e-02,4.846143746784677825e-02,1.886903608613101690e+00,9.833938338690333125e-03
3.773045363638455763e-03,2.102400315244325364e-03,1.670645047320152687e-03,3.926545843049617998e-03,3.042061047236775239e-03,8.844847844946863860e-04,3.042332389688001508e-03,6.106112915595766910e-02,3.993395543694803873e+00,1.708185467191181833e-02,1.643805168834338096e-02,6.438029912703625195e-04,1.643676136383138628e-02,5.126976258247856882e-02,3.033629864915746932e+00,3.926545843049617998e-03
2.662174651204816424e-03,1.161371939892984640e-03,1.500802713401734470e-03,2.678669377928599715e-03,1.817976022259302701e-03,8.606933564199911171e-04,1.818067763851572522e-03,4.291005366656087255e-02,5.981857599580605367e+00,1.685892577766429090e-02,1.626570929035363669e-02,5.932163253601558436e-04,1.626431757329657724e-02,5.230722907402340915e-02,4.643667029812236891e+00,2.678669377928599715e-03
2.263790263238293476e-03,8.993783737055987410e-04,1.364411890166438660e-03,2.353209515734176489e-03,1.499685408715676054e-03,8.535241078558130755e-04,1.499734430087524585e-03,3.763489366016375265e-02,6.622168889892692256e+00,1.697423072229237856e-02,1.641202460776008606e-02,5.622062149259248126e-04,1.641058868559782530e-02,5.090722400355528199e-02,5.497710063000156744e+00,2.353209515734176489e-03
2.119463548219658721e-03,8.461941101910618783e-04,1.273269438708299122e-03,2.441910538075876217e-03,1.800130303886290310e-03,6.417802382317844495e-04,1.800185266081384943e-03,3.473284299983887824e-02,6.081557442536637659e+00,1.741234333606098833e-02,1.697311838199718620e-02,4.392249149862317956e-04,1.697167414815343306e-02,4.650009871872726880e-02,4.777387335657287792e+00,0.000000000000000000e+00
1.995556634783303938e-03,7.928737827859685689e-04,1.202682852747184771e-03,2.499555327212585679e-03,1.875647774709033721e-03,6.239075599238738017e-04,1.875726312317437840e-03,3.531981714770054265e-02,6.306195820475753777e+00,1.730348238375682343e-02,1.687439765564052035e-02,4.290845684980642573e-04,1.687296294308956654e-02,4.650009871872726880e-02,4.965219351578885387e+00,0.000000000000000000e+00
1.871518405018735964e-03,7.217324242214709883e-04,1.149785984536836345e-03,2.017448769442530335e-03,1.362936472379794707e-03,6.545122932803923736e-04,1.362987227101329678e-03,3.773896148409407875e-02,7.211760849407346186e+00,1.673565612381858539e-02,1.628969874594533504e-02,4.459573861834231572e-04,1.628826416426371743e-02,4.608479997232808184e-02,5.702265511892069760e+00,2.017448769442530335e-03
1.730187292583224793e-03,6.417761471234274167e-04,1.088411143856087265e-03,1.743116556012648099e-03,1.102019909590053973e-03,6.410966530056034368e-04,1.102044640741275732e-03,3.933861912580322029e-02,7.428071309583084592e+00,1.633266380542048452e-02,1.589270428786808756e-02,4.399595175533549027e-04,1.589128942570934219e-02,4.831281551452484835e-02,5.917260267611165858e+00,1.743116556012648099e-03
1.581609476295156190e-03,5.668796087426945492e-04,1.014729867726620180e-03,1.683267855523375893e-03,1.091763460689911718e-03,5.915043953531754026e-04,1.091808905261757150e-03,4.074053768539965398e-02,7.688098004021503229e+00,1.616249805785920091e-02,1.575163447318739945e-02,4.108637118370020761e-04,1.575023289020176590e-02,4.725601877444510213e-02,5.945867936536705756e+00,1.683267855523375893e-03
1.443632179871201515e-03,5.055085711261354245e-04,9.381236083943301574e-04,1.430031231148094599e-03,8.486962185651506993e-04,5.813350142286961191e-04,8.487258866142879986e-04,4.074599457129648300e-02,8.582098055142614257e+00,1.589558736341592851e-02,1.549039015503215176e-02,4.051973061539775934e-04,1.548898964479528996e-02,5.594470927159916895e-02,6.495575260751683011e+00,1.430031231148094599e-03
1.308601103602918510e-03,4.402869835854638010e-04,8.683141204407566734e-04,1.364431267286399544e-03,8.260946045675877057e-04,5.383366562801668656e-04,8.261346517600852077e-04,4.063853850122901151e-02,8.412794396703885624e+00,1.574857798891283328e-02,1.537000494473711974e-02,3.785728949094535416e-04,1.536861501940191450e-02,5.172166599228440048e-02,6.399481590941470621e+00,1.364431267286399544e-03
1.181042757378507118e-03,3.849201170174018660e-04,7.961226379869855256e-04,1.159802728377851665e-03,6.120956598943661474e-04,5.477070660581664571e-04,6.121185753459689296e-04,4.180334388592853168e-02,9.551866392046854060e+00,1.555287625499655185e-02,1.517268147797005452e-02,3.801946572768413919e-04,1.517129007560946881e-02,6.438175561952196035e-02,7.376342411047696501e+00,1.159802728377851665e-03
1.081718554776168106e-03,3.470333319281517490e-04,7.346852247371529364e-04,1.120447085884821066e-03,5.987836430283514618e-04,5.216634408353701706e-04,5.988192415479879922e-04,4.380085673355401527e-02,9.420425640080701157e+00,1.542115294979197471e-02,1.505869801130680155e-02,3.624549406560161426e-04,1.505731504928191009e-02,6.462541499872057060e-02,7.344846435827823150e+00,1.120447085884821066e-03
1.000882131073864249e-03,3.151152168163420418e-04,6.857669142925957141e-04,1.075161460441507663e-03,5.838423844363118840e-04,4.913190722805983257e-04,5.838748040962428920e-04,4.749110242472762838e-02,8.682618212163557558e+00,1.538567543891847939e-02,1.503941606523180249e-02,3.462593775107762400e-04,1.503803792049736819e-02,5.617471686425488941e-02,6.728468840440657850e+00,1.075161460441507663e-03
9.334890027024270610e-04,2.917052472688002837e-04,6.417837547672283630e-04,1.027094760502222925e-03,5.355280572118880722e-04,4.915667055568534232e-04,5.355631791554482570e-04,4.969688053524144028e-02,8.996862324739685945e+00,1.532027961068319066e-02,1.497486512015086361e-02,3.454144453379709781e-04,1.497348536387272701e-02,6.111138038817846840e-02,7.091725981514355404e+00,1.027094760502222925e-03
8.849958955985865773e-04,2.714708246051661064e-04,6.135250726491362373e-04,9.304289851570501924e-04,4.069705583600489941e-04,5.234584256420873058e-04,4.069988405993780231e-04,9.809434052021014094e-02,1.102426581007812167e+01,1.535352519705974160e-02,1.500364130981539541e-02,3.498839083963330328e-04,1.500224432961080878e-02,7.493912426739313126e-02,8.758692203647836294e+00,9.304289851570501924e-04
8.494621951034245656e-04,2.543855676351008542e-04,5.950766295231528372e-04,8.979205617039937243e-04,4.188885734095940225e-04,4.790319848874036624e-04,4.189170081280890095e-04,5.809635909574469709e-02,1.004650283360597740e+01,1.541646229182291362e-02,1.509094975351106364e-02,3.255124439944669752e-04,1.508954898125751745e-02,7.156958525824548556e-02,8.108752232213186417e+00,8.979205617039937243e-04
8.237967410636013376e-04,2.523597940745140569e-04,5.714369479530064921e-04,8.856101448477674606e-04,4.338897335747744582e-04,4.517204115761578849e-04,4.339237141440525003e-04,6.112536686195205182e-02,9.750535595395831479e+00,1.544225297058747851e-02,1.513125557248099461e-02,3.109975751768512199e-04,1.512985293367031733e-02,6.734071574154879003e-02,7.854561922806354346e+00,8.856101448477674606e-04
7.923514932623762063e-04,2.381262873101111304e-04,5.542252065739144279e-04,8.507236804386290050e-04,3.832801230601035058e-04,4.674435608143943845e-04,3.833105902722327724e-04,7.875216139396612469e-02,1.091543588929261865e+01,1.551286299896666165e-02,1.520252329259786685e-02,3.103395401922171004e-04,1.520110524817269715e-02,7.603227368314970092e-02,8.936340993486549422e+00,8.507236804386290050e-04
7.703386823351971021e-04,2.265620011441685851e-04,5.437766808705282989e-04,8.115125704549312497e-04,3.645162280932593454e-04,4.469963430546202072e-04,3.645465098514326006e-04,8.197073504590149384e-02,1.085525153724274539e+01,1.553171401979000846e-02,1.523301236849437280e-02,2.987016520967196789e-04,1.523159221714010317e-02,7.602587206444325063e-02,8.937372375584706319e+00,8.115125704549312497e-04
7.581729248371669094e-04,2.300797374854037772e-04,5.280931855478915998e-04,8.892186619165826306e-04,4.997393369281088061e-04,3.894793251184016855e-04,4.997860135545446414e-04,6.852514206540286090e-02,8.886219248658477454e+00,1.562323840740254682e-02,1.534568493754037179e-02,2.775534760098995646e-04,1.534426364435828062e-02,5.057489887611955892e-02,7.260565777087503392e+00,0.000000000000000000e+00
7.233060171122989400e-04,2.140314692728970147e-04,5.092745474312178593e-04,8.032697716973618380e-04,4.039351392531811578e-04,3.993346309572290052e-04,4.039714968298039536e-04,7.688441814157087606e-02,1.038715399144248330e+01,1.571116968461327978e-02,1.543651824327822372e-02,2.746513318579903574e-04,1.543507938331017092e-02,6.806099364505770188e-02,8.615543095021893194e+00,8.032697716973618380e-04
