# Train Loss,Train reg loss,Train rank loss,Valid Loss,Valid reg loss,Valid rank loss,Valid_pr_mse,Valid_pr_mrrt,Valid_pr_btl,Test Loss,Test reg loss,Test rank loss,Test_pr_mse,Test_pr_mrrt,Test_pr_btl,Better valid loss
9.89E-02,9.75E-02,1.48E-03,9.70E-03,9.06E-03,6.44E-04,9.06E-03,5.29E-02,2.71E+00,1.68E-02,1.63E-02,5.03E-04,2.13E-02,4.85E-02,1.87E+00,9.70E-03
3.26E-03,2.07E-03,1.18E-03,3.40E-03,2.70E-03,6.92E-04,2.70E-03,6.18E-02,4.28E+00,1.66E-02,1.61E-02,4.98E-04,1.61E-02,5.10E-02,3.33E+00,3.40E-03
2.14E-03,1.12E-03,1.03E-03,2.30E-03,1.58E-03,7.24E-04,1.58E-03,4.62E-02,6.48E+00,1.64E-02,1.59E-02,4.94E-04,1.59E-02,5.40E-02,5.07E+00,2.30E-03
1.75E-03,8.56E-04,8.90E-04,1.92E-03,1.23E-03,6.84E-04,1.23E-03,1.24E-01,8.59E+00,1.66E-02,1.60E-02,5.93E-04,1.60E-02,1.08E-01,7.01E+00,1.92E-03
1.60E-03,7.77E-04,8.26E-04,1.76E-03,1.16E-03,6.05E-04,1.16E-03,1.98E-01,9.61E+00,1.66E-02,1.59E-02,6.18E-04,1.59E-02,1.75E-01,7.97E+00,1.76E-03
1.50E-03,7.19E-04,7.77E-04,1.77E-03,1.17E-03,6.00E-04,1.17E-03,2.26E-01,1.04E+01,1.64E-02,1.58E-02,5.94E-04,1.58E-02,2.11E-01,8.93E+00,0.00E+00
1.40E-03,6.58E-04,7.41E-04,1.59E-03,1.01E-03,5.80E-04,1.01E-03,2.46E-01,1.10E+01,1.62E-02,1.56E-02,5.65E-04,1.56E-02,2.20E-01,9.39E+00,1.59E-03
1.29E-03,5.91E-04,6.95E-04,1.35E-03,8.21E-04,5.29E-04,8.21E-04,2.58E-01,1.14E+01,1.60E-02,1.55E-02,5.45E-04,1.55E-02,2.26E-01,9.73E+00,1.35E-03
1.17E-03,5.22E-04,6.46E-04,1.22E-03,6.94E-04,5.28E-04,6.94E-04,2.71E-01,1.20E+01,1.57E-02,1.52E-02,5.01E-04,1.52E-02,2.38E-01,1.01E+01,1.22E-03
1.06E-03,4.67E-04,5.96E-04,1.10E-03,5.99E-04,5.04E-04,5.99E-04,2.99E-01,1.24E+01,1.56E-02,1.52E-02,4.73E-04,1.52E-02,2.55E-01,1.04E+01,1.10E-03
9.58E-04,4.08E-04,5.50E-04,1.04E-03,5.39E-04,5.01E-04,5.39E-04,3.12E-01,1.28E+01,1.54E-02,1.50E-02,4.25E-04,1.50E-02,2.81E-01,1.07E+01,1.04E-03
8.62E-04,3.55E-04,5.07E-04,9.34E-04,4.40E-04,4.95E-04,4.40E-04,3.17E-01,1.33E+01,1.53E-02,1.49E-02,3.89E-04,1.49E-02,2.91E-01,1.11E+01,9.34E-04
7.95E-04,3.23E-04,4.72E-04,8.76E-04,3.92E-04,4.85E-04,3.92E-04,3.13E-01,1.35E+01,1.52E-02,1.48E-02,3.65E-04,1.48E-02,3.13E-01,1.13E+01,8.76E-04
7.36E-04,2.93E-04,4.43E-04,8.39E-04,3.96E-04,4.42E-04,3.96E-04,3.33E-01,1.39E+01,1.52E-02,1.49E-02,3.52E-04,1.49E-02,3.20E-01,1.16E+01,8.39E-04
6.86E-04,2.69E-04,4.17E-04,8.00E-04,3.19E-04,4.81E-04,3.19E-04,3.30E-01,1.41E+01,1.51E-02,1.48E-02,3.21E-04,1.47E-02,3.51E-01,1.16E+01,8.00E-04
6.48E-04,2.51E-04,3.97E-04,7.71E-04,3.05E-04,4.66E-04,3.05E-04,3.32E-01,1.42E+01,1.51E-02,1.48E-02,3.12E-04,1.48E-02,3.27E-01,1.15E+01,7.71E-04
6.14E-04,2.35E-04,3.79E-04,7.40E-04,2.95E-04,4.45E-04,2.95E-04,3.71E-01,1.45E+01,1.51E-02,1.48E-02,2.98E-04,1.48E-02,3.95E-01,1.19E+01,7.40E-04
5.94E-04,2.31E-04,3.63E-04,6.99E-04,2.67E-04,4.32E-04,2.67E-04,3.66E-01,1.48E+01,1.51E-02,1.49E-02,2.91E-04,1.49E-02,3.49E-01,1.18E+01,6.99E-04
5.71E-04,2.21E-04,3.50E-04,6.98E-04,2.76E-04,4.22E-04,2.76E-04,3.76E-01,1.49E+01,1.52E-02,1.49E-02,2.82E-04,1.49E-02,3.69E-01,1.20E+01,6.98E-04
5.52E-04,2.14E-04,3.38E-04,6.52E-04,2.48E-04,4.04E-04,2.48E-04,3.60E-01,1.48E+01,1.52E-02,1.49E-02,2.73E-04,1.49E-02,3.18E-01,1.18E+01,6.52E-04
5.42E-04,2.12E-04,3.31E-04,6.34E-04,2.39E-04,3.95E-04,2.39E-04,3.78E-01,1.52E+01,1.52E-02,1.49E-02,2.65E-04,1.49E-02,3.98E-01,1.24E+01,6.34E-04
5.15E-04,1.96E-04,3.19E-04,6.10E-04,2.25E-04,3.85E-04,2.25E-04,3.88E-01,1.54E+01,1.53E-02,1.50E-02,2.61E-04,1.50E-02,4.07E-01,1.25E+01,6.10E-04
5.01E-04,1.89E-04,3.12E-04,6.06E-04,2.34E-04,3.72E-04,2.34E-04,3.96E-01,1.55E+01,1.53E-02,1.51E-02,2.55E-04,1.51E-02,4.12E-01,1.26E+01,6.06E-04
4.81E-04,1.78E-04,3.03E-04,5.74E-04,2.12E-04,3.61E-04,2.12E-04,3.88E-01,1.55E+01,1.53E-02,1.50E-02,2.48E-04,1.50E-02,3.70E-01,1.25E+01,5.74E-04
4.77E-04,1.80E-04,2.97E-04,5.59E-04,2.06E-04,3.53E-04,2.06E-04,4.01E-01,1.57E+01,1.53E-02,1.51E-02,2.43E-04,1.51E-02,3.72E-01,1.26E+01,5.59E-04
4.58E-04,1.69E-04,2.88E-04,5.39E-04,1.99E-04,3.41E-04,1.99E-04,4.26E-01,1.59E+01,1.54E-02,1.52E-02,2.30E-04,1.52E-02,4.69E-01,1.32E+01,5.39E-04
4.44E-04,1.65E-04,2.79E-04,5.22E-04,1.90E-04,3.32E-04,1.90E-04,4.39E-01,1.60E+01,1.55E-02,1.52E-02,2.23E-04,1.52E-02,4.71E-01,1.33E+01,5.22E-04
4.35E-04,1.62E-04,2.72E-04,5.15E-04,1.96E-04,3.19E-04,1.96E-04,4.36E-01,1.62E+01,1.55E-02,1.52E-02,2.14E-04,1.52E-02,4.77E-01,1.34E+01,5.15E-04
4.23E-04,1.55E-04,2.68E-04,5.01E-04,1.91E-04,3.11E-04,1.91E-04,4.49E-01,1.63E+01,1.56E-02,1.53E-02,2.11E-04,1.53E-02,4.76E-01,1.36E+01,5.01E-04
4.10E-04,1.50E-04,2.60E-04,4.83E-04,1.79E-04,3.05E-04,1.79E-04,4.54E-01,1.64E+01,1.56E-02,1.54E-02,2.05E-04,1.54E-02,4.86E-01,1.36E+01,4.83E-04
4.02E-04,1.48E-04,2.54E-04,4.69E-04,1.73E-04,2.96E-04,1.73E-04,4.69E-01,1.65E+01,1.56E-02,1.54E-02,2.02E-04,1.54E-02,4.95E-01,1.37E+01,4.69E-04
3.91E-04,1.42E-04,2.48E-04,4.62E-04,1.72E-04,2.91E-04,1.72E-04,4.88E-01,1.66E+01,1.57E-02,1.55E-02,2.03E-04,1.55E-02,5.09E-01,1.39E+01,4.62E-04
3.81E-04,1.39E-04,2.41E-04,4.72E-04,1.91E-04,2.81E-04,1.91E-04,4.92E-01,1.65E+01,1.56E-02,1.54E-02,1.93E-04,1.54E-02,4.76E-01,1.37E+01,0.00E+00
3.72E-04,1.37E-04,2.36E-04,4.30E-04,1.57E-04,2.72E-04,1.57E-04,5.04E-01,1.68E+01,1.57E-02,1.55E-02,1.86E-04,1.55E-02,5.21E-01,1.39E+01,4.30E-04
3.60E-04,1.33E-04,2.27E-04,4.34E-04,1.67E-04,2.67E-04,1.67E-04,4.78E-01,1.65E+01,1.57E-02,1.55E-02,1.87E-04,1.55E-02,4.70E-01,1.36E+01,0.00E+00
3.49E-04,1.28E-04,2.22E-04,4.49E-04,1.66E-04,2.83E-04,1.66E-04,5.24E-01,1.68E+01,1.59E-02,1.57E-02,2.13E-04,1.57E-02,5.29E-01,1.40E+01,0.00E+00
3.41E-04,1.25E-04,2.16E-04,4.24E-04,1.79E-04,2.45E-04,1.79E-04,5.17E-01,1.69E+01,1.59E-02,1.57E-02,1.72E-04,1.57E-02,5.27E-01,1.41E+01,4.24E-04
3.33E-04,1.26E-04,2.07E-04,3.85E-04,1.45E-04,2.41E-04,1.45E-04,5.19E-01,1.70E+01,1.58E-02,1.56E-02,1.69E-04,1.56E-02,5.21E-01,1.41E+01,3.85E-04
3.23E-04,1.19E-04,2.03E-04,3.76E-04,1.42E-04,2.34E-04,1.42E-04,5.43E-01,1.71E+01,1.59E-02,1.57E-02,1.65E-04,1.57E-02,5.37E-01,1.43E+01,3.76E-04
3.18E-04,1.21E-04,1.97E-04,4.25E-04,1.93E-04,2.32E-04,1.93E-04,5.59E-01,1.71E+01,1.60E-02,1.58E-02,1.71E-04,1.58E-02,5.52E-01,1.45E+01,0.00E+00
3.12E-04,1.20E-04,1.92E-04,3.60E-04,1.38E-04,2.22E-04,1.38E-04,5.59E-01,1.72E+01,1.59E-02,1.57E-02,1.57E-04,1.57E-02,5.38E-01,1.44E+01,3.60E-04
3.01E-04,1.14E-04,1.87E-04,3.69E-04,1.46E-04,2.24E-04,1.46E-04,4.77E-01,1.66E+01,1.59E-02,1.57E-02,1.63E-04,1.57E-02,4.55E-01,1.36E+01,0.00E+00
2.94E-04,1.11E-04,1.82E-04,3.59E-04,1.51E-04,2.08E-04,1.51E-04,5.54E-01,1.74E+01,1.60E-02,1.58E-02,1.52E-04,1.58E-02,5.40E-01,1.45E+01,3.59E-04
2.88E-04,1.08E-04,1.79E-04,3.36E-04,1.31E-04,2.06E-04,1.31E-04,5.45E-01,1.73E+01,1.60E-02,1.58E-02,1.49E-04,1.58E-02,5.20E-01,1.43E+01,3.36E-04
2.82E-04,1.08E-04,1.74E-04,3.33E-04,1.33E-04,2.00E-04,1.33E-04,5.36E-01,1.72E+01,1.60E-02,1.58E-02,1.46E-04,1.58E-02,5.07E-01,1.43E+01,3.33E-04
2.74E-04,1.05E-04,1.70E-04,3.33E-04,1.40E-04,1.93E-04,1.40E-04,5.73E-01,1.76E+01,1.61E-02,1.59E-02,1.42E-04,1.59E-02,5.54E-01,1.47E+01,3.33E-04
2.68E-04,1.03E-04,1.65E-04,3.18E-04,1.26E-04,1.92E-04,1.26E-04,5.70E-01,1.73E+01,1.60E-02,1.59E-02,1.40E-04,1.59E-02,4.97E-01,1.44E+01,3.18E-04
2.63E-04,1.01E-04,1.62E-04,3.16E-04,1.31E-04,1.85E-04,1.31E-04,5.83E-01,1.74E+01,1.61E-02,1.59E-02,1.36E-04,1.59E-02,5.07E-01,1.45E+01,3.16E-04
2.59E-04,1.02E-04,1.57E-04,3.12E-04,1.27E-04,1.85E-04,1.27E-04,5.69E-01,1.73E+01,1.61E-02,1.59E-02,1.36E-04,1.59E-02,4.90E-01,1.43E+01,3.12E-04
2.58E-04,1.05E-04,1.54E-04,3.06E-04,1.28E-04,1.78E-04,1.28E-04,5.94E-01,1.76E+01,1.61E-02,1.60E-02,1.31E-04,1.60E-02,5.20E-01,1.46E+01,3.06E-04
2.52E-04,9.95E-05,1.52E-04,3.51E-04,1.60E-04,1.91E-04,1.60E-04,4.29E-01,1.60E+01,1.60E-02,1.59E-02,1.43E-04,1.59E-02,3.59E-01,1.31E+01,0.00E+00
2.50E-04,1.01E-04,1.49E-04,2.97E-04,1.23E-04,1.74E-04,1.23E-04,5.82E-01,1.76E+01,1.61E-02,1.60E-02,1.29E-04,1.60E-02,5.31E-01,1.47E+01,2.97E-04
2.44E-04,9.79E-05,1.46E-04,3.25E-04,1.51E-04,1.74E-04,1.51E-04,6.13E-01,1.76E+01,1.62E-02,1.61E-02,1.27E-04,1.61E-02,5.20E-01,1.46E+01,0.00E+00
